id,feet,median
sg:ddcd6649bacd4dd2b088e081153e9a71,8146,9.5
sg:d5dd8786b408412f93d7c581786fcc02,10749,13.0
sg:ad4adf4116a3438a9b5bf3efa5fa50d3,9638,12.0
sg:557365d19fb447f9b0db826d9c3c8955,9267,10.0
sg:d6120e2249ef4beda3f8ccc05042906b,26911,21.0
sg:8c5e5bed84454037af8820c55c9bd049,4508,10.0
sg:95eb4d11b88a4a378b71ea51d2243b88,218838,23.0
sg:faed8124eddb45c8824f98ab294696aa,217075,23.0
sg:27cecb53d0084a7ba2e6e1e760d19b19,12941,12.0
sg:fe5ac76e51924956a9c162df520edd75,9939,12.0
sg:7d4302be13734ef6af2d2be7abf8ef9d,16825,12.5
sg:3191d4688ea74ae9b4bbb4c72e08b5c9,359198,69.5
sg:65c6a2e924a44a88a58edac01a03eab6,2537,10.0
sg:3a112ba998434477839e1f6e924be3ef,1794,94.5
sg:9e4b4e41166b498fbcab9eba18c75b3a,10832,12.5
sg:8537c89adc1a40d080666cdfbd17e381,218856,22.0
sg:eb022d7649ee43eebb69f7410d4b0bf6,11454,20.0
sg:74f725873fd84f32bc3496817059950b,8428,11.0
sg:b74406ad17ea474b8cf72b95255ce064,2903,33.0
sg:95f0fc3d6dfa4639b607669de8f92d82,10552,10.0
sg:28c89a3817244c0980bbe93015b30485,8333,10.0
sg:70e4f486f12049c09fccb5fdae39741d,2865,15.0
sg:b6b8cf6dd5ff4cb7af0243896a61006f,9535,18.0
sg:f2056d34bf154568970c854e299df3c8,1785,10.0
sg:cc6d9138493445af8e813151c9b46187,271848,74.0
sg:ed9d83b872b4435c8704a8e9b80809cc,7758,21.0
sg:5a94ef46954b4a67a24dd78b70b29894,8813,11.5
sg:7b2a3f1c27b8474c837b32eebd0dac9c,1405,18.5
sg:7b5341200353490d82f07ed5c2aefe42,9447,10.0
sg:250acc0a066f4c73b985cff1ba539e77,10411,23.0
sg:7e1b366b665849859ab3e969ceff3e66,12616,14.0
sg:b4ecff4263444fdc965bab45ace34b9e,7291,10.0
sg:f014d2c321554a669415f54bef017923,8170,10.5
sg:c12038cfeb57471cb2e3562d14c8bc95,9298,10.0
sg:22576aa55a5549208e3a911d68b5cc69,151533,109.0
sg:86098376a9ca47caa1838f06abca8be4,22917,17.0
sg:14dce2db4aab490f83d18e09ae29bf67,41780,21.0
sg:c1f1a89cbefe4bd8a8923c2df856d107,8584,12.0
sg:789a47a9fe4d4535bb5870a6085b43a6,41047,18.0
sg:d4aa43a769ba4fed8fb4335fe1a1596d,187304,22.0
sg:b1f3a0f771414eaa9e8f3839a805a8b9,206222,24.0
sg:ff3bf631943c4920ae1b081bcf4edd3a,7056,30.0
sg:09b7da42ae2c4ae9b177e4ef2e26e0b0,12608,13.0
sg:1420a0264286414f86553ecd53c5458f,10185,9.5
sg:9ade83aac10f49a89cf61a0da5017c59,9973,10.0
sg:dc84e5ab6e654f02b43ad217bc0ff7cb,8349,10.0
sg:fdfbba1dfcdc44c3b02039592f64d43f,41780,16.0
sg:64479dcf0ca642c38f75f3f2b36c0c0f,48170,21.5
sg:feb013e3c2284ef58fd9c8c00297fef9,298511,66.0
sg:fe34d25272de4c249479d7047bbf38a6,172016,23.0
sg:7c81e2e9181544bfab5a1c8d9077af8f,11010,11.0
sg:898b5ce4660c4cfabeba6d25271ea7d5,12835,13.0
sg:3109b31cb1c94d308085cb27f4cbe732,2226,11.0
sg:42f5f1a41de2457ca2352afb4e2bd485,10510,16.0
sg:87378dcea5bd4fa3b685bdb7b75d0e24,17202,11.0
sg:fb59de25c8c242678f79de8209e4407c,51457,39.0
