id,feet,median
sg:d14c229ddb444b5eb198cbd7ce6fdaa0,12981,15.0
sg:968411ac8c2c49319cc5b0780d54dd07,11158,17.0
sg:26fd383b83e6425eaa0093a3d2fb2cdd,11691,14.5
sg:c54b21ba9d1b4721909ffecfa3c49d08,13305,13.0
sg:926fb443daaf43129c12b86dedef55e5,2888,14.5
sg:0c17cd77b44e4a9ba77d8d929d2607ff,9079,17.0
sg:4f23dc9f527341bc8138350eb497ea7b,1613,20.0
sg:12cc69914f6b434d8e1bf9651092db44,37587,28.0
sg:50e9388d54944a979af5462457a5ef0a,2202,24.5
sg:f41270695f4743ebbb55e1f51df72c69,7413,28.0
sg:2a4a1007d58d4849a73d4f6e70899bf9,7403,13.0
sg:af1bdf362b3d43a7b681a6ec3f8830f6,453405,21.0
sg:97d61b1b363545df908af7396397d018,46051,33.5
sg:fb69ac8034ea4945997462e3057a599f,8822,11.5
sg:04ba0b8856224e19ae77267aeab296b8,10334,20.0
sg:c507b734a23546b7a584eebbfd48da14,12398,28.0
sg:36006e60688c4223833db3d7bfd4d561,9976,10.0
sg:45d52b146cd8424fab7cbff749e12b65,9391,10.0
sg:0c87cad684e34022b75e4b29611a7997,5469,11.0
sg:1bd0c102016441df957b045176b8c4a5,127250,21.0
sg:a79877cdb09047f2995b9dfefbbf1217,11440,10.0
sg:23dd2a38cd0449f4a13826acb2bf084e,15040,23.5
sg:b4f61de9ac124af8a440955e16338210,16281,17.0
sg:f588d7f72771428983a46f12408f1bbf,6229,17.0
sg:ea7c416505dc482caf4104e73442fa05,14956,14.0
sg:9c46aa6745914a3ebf684aeb46760396,185116,22.0
sg:d97110f9b6594a1da06e174b9f017454,958338,156.5
sg:c37f43482d1145159ba050f04b7396ae,7936,10.0
sg:95a6a1f57f0a42a8a2e6a3dc0f35f52f,67567,113.0
sg:157f3bc4ece44571ae7e94932ef743b9,9281,14.0
sg:008e0a23eddc4dcb8e38aeec1ed5f9be,10312,23.0
sg:95291b134a19430aa4f44e769ce19db7,220208,22.0
sg:5409484534c44a8a83ece6e95b81d7ee,204892,29.0
sg:0d16f388a6a5476aa641bd2aaade785a,14077,43.5
sg:87087d407f0841178b20c517943491cf,9959,11.0
sg:6b5beebc42f947aa9909e7ed988552d0,7571,13.5
sg:d7b7fb99286248a6a3846b4a5e747a4d,13012,18.5
sg:30ce7707e8bb41f499f8e15b7e65730e,154354,25.0
sg:81dfa77496f542e1a2fa4b667738c2ac,16715,15.5
sg:8a6eb0d2a63142cfbb33d77e708475fe,17903,13.0
sg:079ec1751fb64efda919406612f5e766,10070,17.0
sg:252299d8d3404e078c220c8ca139bc7f,4005,63.0
sg:26a569e2a762416c9f281654dc1a1107,8961,10.0
sg:44adf97bc2bd4cafb4efa2fb4037a8f5,8163,14.0
sg:170ec3520e964128ad9e91214f106941,13139,18.0
sg:d3036489a17343bca01a78fd9fb1802e,30547,8.0
sg:58eab77764714ad28e0471e90dc358a7,4581,12.0
sg:7ffd9b68e4f1402d86f8a1a10f45bd29,12391,21.0
sg:4c61a8bbf4a34fa8bac5533627480de3,2185,10.0
sg:3cdf27b861534bb4b34d0cb657ef808f,13939,15.0
sg:7229d5702ba942998b243a24e50f4de4,9191,9.0
sg:fc8d9a326db84731ac8e63e7805ca607,366420,21.0
sg:f1f46b5c277b494aaab0b0c4cefd04b9,5443,25.0
sg:9e88d8358c4f45a39579be07ad687012,37372,54.0
sg:cde8f810d8fa425fb32792ff88614a41,8646,11.5
sg:2ca52df83b8e419099434992daad6d94,4719,19.0
sg:5946a3336b1c4f40b436b0d9db467462,10901,14.5
sg:da3cf4d6e12246ee9455f445d0bd942d,12779,20.0
sg:40b17e8f93074970b1642706defffc57,14023,20.0
sg:289d11b7551c4197a15e8b0dfe6c5843,7308,12.0
