id,feet,median
sg:9f20165e3e7b4b91ad8ddbce6763d057,7513,11.0
sg:c8203f3a4b2f47bfbe3bcf5fcca89346,10228,24.0
sg:745f71aefcdd4ecfb8e6b9c4f053933e,10200,14.0
sg:da89820c63844ec7bda68758cbabdd32,191447,22.0
sg:892e4590e5df439e85907c96bd8b4a04,56543,41.0
sg:35b2a6cc29314659b07bd4fdf6e612c5,10210,15.0
sg:ac352fb492e644d8a8e0fb62b880df18,8946,10.0
sg:84b5c67000eb46c1afff508c6002b00e,152660,22.0
sg:12966063c7824cabaddbaaea5994fdca,35399,24.0
sg:1536ee58bfa34b7ebcf9fea21e220401,10697,10.0
sg:bf4ca459a54d4b829b88eeec97851782,9397,10.0
sg:5060e7795aa04c1b8cd1ce917c70bffb,187167,21.0
sg:c6a70a3198a94fa8a198a49830ddab45,44963,21.0
sg:61a8e0f5fda44dc6abde9449938e98d8,11309,14.0
sg:d5289ee51b8941ffb7162b1774734b16,23430,22.0
sg:3bcff678a29d47538f4414ef80612f40,9791,14.0
sg:dd52573a9c924ae2828c35379f92cb4a,34552,19.0
sg:0db0c6846357417aba4b56792e5ad3d1,35995,41.0
sg:dcf07cd311fa4afe869f66a4570d546f,24400,16.0
sg:25317169fadd4103b4d295fc9b30a8a5,1333,190.0
sg:820076a572d349fabbaec551d7894513,146484,22.0
sg:6d467db831ca42a0a11cde7f8a9d26af,41849,17.5
sg:76242f1b26c84f3ebb84e365acb21ef0,2243,7.0
sg:3ae67f4af7f2465aa87deafe607a5cb3,7889,10.0
sg:121b3d8961454d41a59a664b29b9a614,401810,21.0
sg:0a404d5c1c8841cfbcc8453369cdf84a,11782,13.0
sg:05f78f78dd3b418a92911890f7eaa1f7,13365,12.0
sg:298a94002787456487d65a09b2ead9b9,10054,11.0
sg:e80ab3db936d4ea684a275a25f758c47,9582,18.5
sg:8bd7bb341af043dd81671785f4346db9,7849,12.0
sg:1a3921db82a94502847ab8c3c2918f81,8756,19.0
sg:0c7d859b39084d80a5e1136097444cb2,10350,11.0
sg:061a84f7ade841c38724c50e0dc53eeb,17576,21.0
sg:bb6147776b7f4ae6890a9a60bcfa8cbb,6093,10.5
sg:e31e388cdf3245a4a82b1b44110b9ac9,12808,17.0
sg:c5f9b9c866d24e5cbead438528be1ac1,9246,17.0
sg:36b6b1a8fb2a4b2a95fa3fd6d70ebabd,7402,12.5
sg:783e4e89fba747ae870a996323dfcd3e,9794,13.0
sg:85efa3fd39b94eaa95bec89826691e90,6005,11.0
sg:10f92d46bf6145f78bac30b0cbb5655b,17504,15.0
sg:2a9460522659434dac4a23012f5a6316,11313,107.5
sg:c6869f9f6a5b4693b3812445d4238f12,13305,61.0
sg:df82e61b31b54a47a44b2265fee67c3d,8435,15.0
sg:479578f279f4405091558d405ab396fc,4056,11.0
sg:dd7dfd4d4be74b23bd24b70419df7c00,6188,13.0
sg:5561dad14c174d80a64cf17dfca6df56,41523,20.0
sg:3f13ed72982b49e4965385ded512e001,8270,12.0
sg:d4e9878ae6ad4ded945063c2385ef039,20622,16.0
sg:9bf8643b92be4d0cbc5aa40689a9c937,35517,143.0
sg:16c415647bfc48bda8b6638587e08808,4608,12.5
sg:200db1a73019457da931280f94329d24,13809,12.0
sg:f793df7e6c4f47f2b8098d839fe4d147,9004,12.0
sg:c867353611524a75b55e71edc7171e00,7621,15.0
sg:b9305beb2751445a900a0e450c0638df,26354,67.0
sg:dba09f451224447fb5c775826b0c1aeb,36375,21.0
sg:cdc058fb3354424c891e6de019042c52,38978,18.0
sg:2cf6ad65dac6499495c46b57fc8235c2,6803,11.0
sg:a1a92694e88a473baaf20455b8d00ae9,185893,22.0
sg:6eaa96b294e34256a862833e63181f26,13625,12.5
sg:7c3907731fd442d5b8aa9c321999122f,13305,13.0
sg:bd59f59c76814404bed36549c92e74e8,7364,11.0
sg:a051aa9853bb4a639cd6f2b2287868e6,96056,21.0
sg:1139b71f490f4940ad367a0ce036ddf7,26206,20.0
sg:f70e25b0ab2346059ccd28fb82bd810a,38199,20.0
sg:35338008435d4db294506dbf21e091f5,6581,16.0
sg:5ecc0deba2a2454dae51c72122d24c66,195503,31.0
sg:a8d499954329434d8edd48ca5e9059ea,29995,21.0
sg:72095b6bec9f4210a4f9ddc229ec7e0d,8444,10.0
sg:57513a7b7a4a4b029eb65f883c485a29,8888,10.0
sg:85e8295869914b99967288c694c1b6b2,8156,18.0
sg:7a5a4f4335954c408d512cf4acfb10c1,10064,13.0
sg:1d94d1cbc582438fb7cf144cb868f029,8098,8.5
sg:2f28ee905ef84508aed129aacbef61a3,25994,20.0
sg:57043f88723c42b5871dd230108af62e,20740,17.0
sg:8cbbebac9e144068811965092413671d,9789,10.0
sg:425fcef24e2d484da328bfc94aaf5933,20622,14.0
sg:b649b6be3aa649d29c6a6b0c53b8fe2c,8062,10.5
sg:acb139f48ecc4f6387a36027c017334e,8750,12.0
sg:be263f73de9444568c1724cc80786a3f,8973,16.0
sg:99f2724245144889b574fdcfb495a536,14470,20.0
sg:451f31821857423685e9a2a1746dd91e,9905,10.0
sg:5bebdead716545c598904f4239fe4214,8822,10.0
sg:e41a9986f0f548dba6b168984b4398a1,8685,10.0
sg:df5febf017fb4e52babf52b0c16a3313,9240,11.0
sg:14cd86ed97d3469d9990cc1cc6dc148b,8265,18.5
sg:abdaee141f87430b9467878e99931279,129505,21.0
sg:904b95f7e114413bbc1dbdaf080d4f7a,7415,13.0
sg:7a5300ad5bed4ca9a01eca9930498800,99653,18.0
sg:6861589809314e41825d3d748509e146,9808,10.0
sg:4b7f1b59f4d04d9191d03f1b24cc2795,10374,22.0
sg:db3499d8199c4ccd95f717b1a79ae635,6892,7.0
sg:d61e251f93d2494d97c342c22ec40f0b,2876,11.0
sg:07c4990eb6e6451fbb0910aa65fd85c1,5500,17.0
sg:a4c1340c9b864196bea8b23178a0620f,375160,23.0
sg:871d47b253ed47ad9a56fe1aa784c3b0,11773,17.5
sg:f80234e53cd44022b43985ed3535313a,8645,11.0
sg:e4bcccfeb98b4507a6797115f7887569,4206,32.0
sg:0a2be92436124333aa723646012b5b15,8834,17.0
sg:0abd758d299540049374d0955c307dcc,5705,12.0
sg:751ecb7282e34d808d5a39fffb2b4f0e,72477,15.0
sg:70d4476c4cbb44689482d2bf40597698,21547,23.0
sg:c6d26a3a7dd24ce2a15fc2a2452d58af,13995,11.0
sg:58acd0758c764cb8bce59951237a766d,16374,42.0
sg:65838b6cad704ff3b5b6255568f25eee,9908,18.5
sg:3ec37d561660465492c41246ef7a4125,211375,22.0
sg:3837bb1c8dc745c1aa65a4822ed0c017,566091,22.0
sg:d5fd2a6bf5df45c2b2dfe2ca76f2809e,55973,22.5
sg:f616c75d552343aa91cc132e0210424d,9651,9.0
sg:387db7a82281419db7bc4a816a8afdcc,7783,19.0
sg:cd8d4b84f74d4375892ffdbd7b964dcb,5668,10.5
sg:44465efaf8af4633845da95e799bf80b,8468,13.0
sg:19504cd50b34478b86c2ccf54b482c2f,42194,16.0
sg:069c971eaa7341e490571eaee363a8b8,10122,11.0
sg:cf392bface414fb2a01eeb06b0b0d781,10122,10.0
sg:00739b7c507b41bd9cbce192442c0799,9264,9.5
sg:3e46821fa92c4d24ae47fe4a7cd946e7,7996,16.0
sg:289e3fbe9ce24d12875cff1467360600,213234,23.0
sg:3f88c9a7890b4383a155e3fdf5b0cd15,8078,14.0
sg:e509516e4d2f485d81931c727fd471bb,12577,11.0
sg:460f91d2f14040318fb8b101eb1de092,131387,21.0
sg:030fd002aaf24527a3ddcc770ba5b8ee,8439,10.0
sg:c72ee29bf8bf4b66bcc4cef9c50166dc,9536,12.0
sg:070f2fbbd7e14902b309986e53b50f17,10248,10.0
sg:b716d5423f0c4517994d754d85d0cf54,451483,22.0
