id,feet,median
sg:9c99d78a918a43bba28680a9d159944f,238799,22.0
sg:248acaa994394f51a49d63291351f09f,8519,15.0
sg:7a67f3291c7e46dca2a9ecad5ac08e32,7233,12.0
sg:d18369a205bd485ba3f38ae30209ce9b,13445,13.0
sg:11cd4fce52d14c96a4a9a09eda7b539b,29110,22.0
sg:5811167cfcfc4a388e80a3aae27f7d83,16297,16.0
sg:e60b839cd8ac4d8bb639334f0cf4ad4f,156007,22.0
sg:04581837a63e48c4a979d1190fac673f,97290,19.0
sg:4205388322ed4731a81cc99e70c81abc,5560,23.0
sg:38e56ae32fa14d61bb6db9ad9f6ac434,7732,11.0
sg:7b0cf677dc1049beb6bed2479c190dd9,26761,20.0
sg:c7557e7597db426797ff916f449a4c2e,25005,15.0
sg:bc0515aacb8b4ccd9bd8651f9f56a197,7558,17.0
sg:93f3defb2ba845609c0422e5df9656e9,11795,12.0
sg:07b092e86eef44899ae0389e8d99557d,17813,18.0
sg:51b7123aeab74f8f99e98823b1fa927b,137889,21.0
sg:a38b97ee2f574e1ebcd5bbb44a887345,7259,11.0
sg:56b39dab2bcb4adaa85b4d704e3d7498,9482,10.0
sg:cc47ac835f2047aa82a2ce35271194ed,22647,189.0
sg:e224bce86f29465892856ec2af4a0227,9310,11.0
sg:4a843f91cd5f4091874cf9ef6164e3bb,8014,10.0
sg:1b28af6bfe5740e79294ecc51b47c031,146272,19.0
sg:f3ffb08417424082986a5d501ad9cea3,8255,9.0
sg:52f17052890246f2a178fadeea079867,6422,20.0
sg:09bf1ea954c5420c8a8dd060d16b8a91,9433,11.0
sg:6d79d975cf234c7ca1f6682a48c1662b,9377,9.0
sg:24cb0dc539a64cce9d8f849ca8748586,35820,22.0
sg:cc7cfb022ff940338312c1a2e27f653b,231551,23.0
sg:a4ce5018f49047f5ad1450b3921f116e,84781,12.0
sg:7815ffed61d34f3e88c482a93405a135,22704,15.0
sg:902860bd2fed4e37bb251733b5949bfa,9597,12.0
sg:b5294fa48adb4ba5aa7df98ea708f181,12190,16.0
sg:ba551ced9ebf4ec09cdf1af4bdc0c231,42801,30.0
sg:5393af79bbdc439bacdcd6a5bac7f9b6,27898,16.5
sg:cb0e30496e04447cb5687f8d1dd3ffa7,9347,10.0
sg:4c75843dba2343af9a036cfc9d8f7f6b,10427,11.5
sg:b2350b43d9f1472c8322b53db006283b,8457,22.0
sg:f7f22efaf5e849e8b9076f5f4edcdca6,1821,50.0
sg:0720934a0489400ba266a7c85c83f53c,218278,21.0
sg:2820940553a24c309948b72278b39caa,1392,11.0
sg:5f2b57a202414574b1a04e6c5e4b97d5,9284,10.0
sg:0ff83ffd92a34cc6a5a3effa54e6ca8c,5021,10.0
sg:eb875c1463854a4e94cb87d5d87fd81b,12639,11.0
sg:bd10dcc0bda74eea9ec719f6dbe2b2ad,8431,11.0
sg:e7cd03fe97b4445f86011d9c16c7b192,33391,23.0
sg:467d4ed350e749aa9720be380ba8ea1d,588223,22.0
sg:833c823074504620bc49e791b1e8459a,17040,16.0
sg:a05f0a86d704458292ca7b493feaf630,10035,10.0
sg:75ff6d45ee8045bc9824872680240661,9378,10.0
sg:9290e460e3204de081eb7def443a1443,17618,17.0
sg:ed09fdb935e84b57af2351cc4a7ae39c,4533,28.0
sg:6c117508b84049359efedd1dca3a61bb,9133,11.0
sg:12f9813ea6eb4ccd8a1394489bc12057,10529,10.0
sg:29ec1549c30c44e687bdf568d9112650,10844,14.0
sg:2634ca957dba438393688b1c3597e3ad,41150,19.0
sg:6c5bc820d792411983a7479afe9bdf8a,10713,10.0
sg:104c048b6d294e619e532627aaea0565,14154,17.5
sg:df813c915d7c430cad8cc62dbd53e8a2,9352,10.0
sg:07c63cfb4c444203b8e0390b48a8dc63,42512,49.0
sg:72f462b17e3344029f38d14509962441,6538,119.5
sg:d0c2c067834447de96eeb2bdeaa3bbbe,8347,10.0
sg:b3eba6a7c46941b6915d9ec05c6ff191,8722,16.0
sg:cf45567f9d62478599c1b9b4a386c1f2,15435,15.0
sg:a498e56779cc40228cf53431d9db24bb,31435,28.0
sg:f2aafdce0d1a4b828603bf1dca8ff7b2,10157,12.0
sg:9cb08de1bddd45529e379788f85e3a80,8456,9.0
sg:bacfda6fc0b94e719d662dd3932322c0,210467,22.0
sg:0d5bfbdfc73c4925937cef483e15745d,27319,24.0
sg:78fc28f2ec644bf88e2dab37a02280c2,10088,13.0
sg:f9e74f4c8785463a814f2ff9ecac9bd9,29425,12.0
sg:cabc67b5bb444e7aa5cabdb179c7b4b6,205950,23.0
sg:6b479856d88849ffbd983391d309aee2,27421,19.0
sg:8fb569f92a484205bb2fca236ae43383,8247,13.0
sg:5cd5308d9e884a2091f8d05cab271b77,10067,14.0
sg:0f6a9895aa064eae8d90568c0d21983a,4688,21.0
