id,feet,median
sg:468db03c123b4daa867a0e4815283831,8878,11.0
sg:3a6348390ad347d1a88a72e0277891cc,15682,31.0
sg:d4c1cef648a5453f8a63b00267430848,19620,18.0
sg:05c3e2cc8cd04e9fb672086e839b3d27,28286,20.0
sg:0b41b4cf73c74c739f71e2e74d8de075,7820,15.0
sg:acae8798b19440ef9d2951c94c0cbc8d,3254,17.0
sg:4b551190e6be479fa43d9047d67c4c75,13387,20.0
sg:c3772d5ae4e84c92a2775605053e9972,122917,61.0
sg:b9788b17c8c942cca569d7cee2bbee12,23221,18.5
sg:8bb3e09ec77b4690a90df2077d663aa0,9404,12.5
sg:a27129adbb0742219962e1619913f5b6,2039,32.5
sg:140bdde252734f999acc00ed9a2604cf,9712,17.0
sg:c30c19ef88ab416cbcefa61c2210f755,37174,21.0
sg:d8ed403930664d5ba68d7918fa838c9d,46908,20.0
sg:d5e7ebb876284f19b8101d3fc164c231,67416,27.0
sg:7dd3d6a019264c6a932005187e84b8cc,16649,19.0
sg:445d7aed85ad4fb18ad28b3646e80302,4759,25.0
sg:82467c460afb479880b48988bd69d8c4,6794,17.5
sg:a28e91bac84e4e2392f6b2a4d5c0bb93,8801,14.0
sg:6d8b63d61989409999de8163be7d780f,9066,21.0
sg:46e1cda56bff498282da3e262ac7dfee,9642,15.0
sg:6e97a5b08616498581f059f38f06fb86,47909,28.5
sg:8247995804654186a0c9c9fce16d3802,44744,21.0
sg:668758ef556c476988bd7a325b8de498,8159,15.0
sg:2a168f2514714d80ab0056e560773e5d,29886,10.0
sg:c280a5f51ce347eba2f124721a9306d4,13305,19.0
sg:6e5f9c36274846809ed41b80c53dfa3d,8907,14.0
sg:ef56983dcb1f4cffbf3acefb6f772e97,8790,49.0
sg:74b22987602447f0b835eb7ab65f27c8,25087,19.0
sg:c7f369e68a494b7e96fb025639363928,55018,22.0
sg:0eff7c298c6e4260934b85906aa5552f,8404,19.5
sg:972a21b9f14c48328ef27b15a75a9557,7566,11.0
sg:7a7515c3abb5439584d06c02e720f1a1,13594,20.0
sg:7f4a6da46d4b44858c677d2fb81e53eb,1227,11.0
sg:dd1f65fbb5d641d9825a9951844b5fee,1076,16.5
sg:8e278e93ab384cc497ca93db9b26236d,36659,49.5
sg:304dfa5b12a448fa946e721f9caad5d2,11685,13.0
sg:195289a5943a4c65826ed73910851bfc,11303,11.0
sg:ae0204adf036479c99aa6c48c72bbed9,6081,16.0
sg:f5779c987be347e1b8477f41633d35c8,4156,38.5
sg:ff2a8e4593c24337acf888b6ac3a812b,93268,22.0
sg:d8bbd48651d1461390b071fe9a64128b,9040,10.0
sg:c85a26fcf1564a4ab005c594f724c879,5812,32.0
sg:8515c8814da04c3ea34f804b83c03ae5,13811,44.0
sg:f75d3aa40ee24a37859bbb2f739921e4,8072,11.0
sg:3bdb1296d5a941649203a0bef603d451,8302,22.0
sg:447762d12ebc46b2878ba16392fa95f7,2367,34.0
sg:3ed31adc99a843ca9df74d8026edea6f,8142,12.5
sg:ee3a9262a71c4bc98925a4655d25222f,4260,14.0
sg:80dc381fd6ac406592483db2314f8fae,13305,23.0
sg:8701d66a8b1541deb1402b371c80389b,11387,9.0
sg:ae24e3126f6b44c2a1b3908de3586087,10202,17.5
sg:7f227225c7c6494097e39c9a2ab3c4fb,6755,14.0
sg:22223fd879584dc48ede2f7ffb29b502,44676,13.0
sg:627195ea64e3463c83f2cbcb645ac785,3038,14.5
sg:f4a980561900483aace9ae511a9113a4,135743,24.0
sg:268c05948fb54ba2b162670e3db6f72d,9089,13.5
