id,feet,median
sg:37c144659f354f6a978cdb8741f5b2e2,193583,9.5
sg:4eb7abbf92234a1695100ab253aba11d,6277,121.5
sg:55f1642db9c846e498d2db6392125fe4,58526,27.0
sg:b059f2b0bba24fcf962461e37e1cf548,45453,36.0
sg:c081de24fdc14817860c796024dd80e3,4563,35.0
sg:10cd32701d034d8c9a004827606ed1c3,37271,92.5
sg:fbc4e15d823c4f92beb72c0f227ee66e,643,31.5
sg:c1697f7946894f36877b70da702caa2e,20619,36.5
sg:2d710182741349e486cbbd2732a74b1d,5328,22.0
sg:fc8252148d7245f5969d8ba7d9f37d6f,63240,39.0
sg:154f899d3f954155895937bf5c88c22a,331315,22.0
sg:609e2ecd0bc941ca91960129babe0bbe,17635,49.5
sg:3fdd73626e154eb88f8980df0db099aa,154384,67.0
sg:989d204369eb4b44be3fad617267d133,169594,82.0
sg:8d39859a48ee4955a7d2e8463617ba17,162888,81.5
sg:fc74bd87e8004dc19382b7752393c5a3,74639,42.0
sg:696b865dcdf2474399fea136f17eb0b9,107299,59.0
sg:6884a75d414649d49e4f746ab6ebd691,637473,69.0
sg:5c7ce7b618894810a27989b7f2d14fa5,107863,43.0
sg:f8c6498802c44fd6aa1248acd7737953,27873,50.5
sg:0dfa1455e98945a4ae8331334e7a8331,13469,43.5
sg:45d28af4d1e94fd3a2fb7735bde96d7e,33022,29.0
sg:47e7f6ec1358404aa97539b8a20f1a96,207894,58.0
sg:a3fdc2feb909408082e2aafd2c28832c,70394,98.5
sg:d77aa9a6ea2d411bbb98cea7a1faa6dd,31563,46.0
sg:79ba1875f9c04e76bbdf75150d1bcd37,3680,21.0
sg:dc776383e6ed44de858377c3b8594dfb,83419,22.0
sg:644c62d3963d4ab5b8d44a1931d619da,50220,95.5
sg:a894738772ba41a89266670be58112d6,444767,34.5
sg:b7fe875dd38145b7bbc8693db2c2f304,377960,27.0
sg:800f27d66ee34ec0b7b160b60f5f0b97,14562,32.0
sg:f8ead79fbd9e4ad0b6746efeea07a13a,543663,35.0
sg:6ed2fb6cc17f4892b5ffd12bc86b04c7,201769,95.5
sg:80639a417e0e4fb8b6eac89ac9d73550,384504,37.0
sg:c31dfaea96624f17a784dc520d85d13b,8149,95.5
sg:a31c58fa9ef84ee585398a32f29990fd,62644,52.0
sg:11433c42369d47b18e80c27eb065a7d7,88314,39.0
sg:2cbcdbeaff3d4e31b9161aceb8d37cba,411115,44.0
sg:156d7a91f8d34c889b629cc33a5a0af9,686723,25.5
sg:b3f518132e9849f594d08328b89170a5,201333,21.5
sg:b69321d856354698b542ef988d90f0d7,613907,41.0
sg:0a071e0b8ffa47958bbae0e08d88194c,73485,92.0
sg:3824d733822647868b0efb6c4a38c0a6,462844,61.0
sg:4daad25338e9409aaea243495c2ea199,62645,48.0
sg:cc43bf9680bb4889885a414235c77fa9,72846,56.0
sg:338459e4d5fd491fb02a0d68d68fceda,34465,119.0
sg:8bde9ddef7d24222a3f048a7d4b16970,5144,50.0
sg:85e76e5a9a7f44c496f4f0f02f6e33db,134546,72.5
sg:2154680aa82c478d9645f37ddb9d60dc,81464,36.0
sg:043403e2fbc5457398e6a9fd3dc7ce8d,12301,73.5
sg:31c4fce1831c4df3b75ae63819c476c8,36323,52.5
sg:89a8028d7810429aba2ce05d29a504f2,251675,47.0
sg:16cdf611034542ba90cc9cd1af416a77,23385,65.0
sg:e7f9208b11974c2f97acd3df6f47ce3c,124335,90.0
sg:64094f57e641496199f2bde0e2e6089c,538443,45.0
sg:42ffea36e44c4a8bb32e46c31cb80000,45350,137.0
sg:a8fbd3838c534d638ff6b78fe40a38f8,14265,21.0
sg:be76851634a941f5a6104ac8581dd039,21347,62.0
sg:154f5970893d4cac9ce7a7635e097683,102984,37.5
sg:1ae753cf12f94b98b71d14e3aa5d5220,22202,62.0
sg:156b9942c1ce401da8a9b3c2a96629ac,9874,28.0
sg:29b27ddc61a342d2afb13cf62a10e7af,8927,44.0
sg:df8d09998d3b45119e886c0004bb283c,971264,45.0
sg:c96b9b884cf24d2b8c80ff5946c54d8f,16710,30.0
sg:bc3c0fcda0dd46cbb752ec866682d90b,125409,25.0
sg:00630eff92ae4b9295f7748e4b0b0863,78020,90.0
sg:23e886515f7049af9f779e58e93fd1fc,61212,121.0
sg:633d4e55e6834d37b70ee987e74ac7d9,203809,41.0
sg:bb4159062d86432aaae2650a025fd85e,16143,71.0
sg:68f507ba59a84346a3b4555999ab79cc,28794,12.5
sg:819f282f098f428a8cbe8de581b25d51,51563,38.5
sg:2e44c7cb52fc4dd39a41d150f1ab67ea,52617,79.0
sg:5fe689484a0d48d8b8141d27c829cf29,179042,28.5
sg:498d1630c56544b8b840e07c9f97cf37,81606,40.0
sg:ad081683f3c74fc9b87920b7ddc1d2a2,126796,139.0
sg:4e2d07efc93642b19f0accf516d6362f,48767,30.0
sg:5eaa04f8983c48c2804c8007adb4f999,30528,29.5
sg:dbaa9bd0f5384f299d8c458a9cc76320,114033,43.5
sg:baac2f3b2512481bbde247de148ae035,46114,27.0
sg:b32e35ae359f420aaa4aff76e8e6e739,252448,60.0
sg:bebf8d553cf34e52a1b90a8d301c6429,12659,59.0
sg:8018814120c84e15908f9471055b7399,20008,95.0
sg:aeb5fed3f9fb4ed09f79c07325f57bc2,23101,20.0
sg:fefad02ce2114aeab694f784096e3cd4,121972,37.0
sg:070151ac0be14d06b17d4c01d5a898b1,47133,63.0
sg:37451ab937744e1c9cbd692a40a4fb7e,188746,22.0
sg:bada481c025d4ed5a7013f4075467e78,162811,78.0
sg:757f212fda464e2eb67509e65e0a0d9c,161474,35.0
sg:62cca09f4e7647fc963fd726abb1d94d,328498,34.5
sg:0f362704200d4045b9f2caa5e2217642,3230505,68.0
sg:81a4a5a1c140494e9cf5f51743041a57,134728,27.0
sg:7bd107f6b6e94eebab2befd33be25e93,391398,46.0
sg:053aa13e000d4ae2bd5abfbab7f82363,62981,21.0
sg:dd43ee5b115241b1834ca9c70906e9e1,25941,54.0
sg:696e150845ac4f96ae010c7fac40a48d,29899,62.0
sg:ed92adc1e2964a60a23ef9148f911937,488791,38.0
sg:326d54fcc8934bb091c54f61305f8dce,75596,80.5
sg:abe7ef1b97e24093bd4bc94a4d5c9950,35528,40.5
sg:4c63aba5572641e5b76c2ca355cf448e,1847931,53.0
sg:841d1325143c4a7ea2da91fa8703fc70,39846,49.5
sg:8930f11c38c34e21af8fa873f7753c44,28666,55.5
sg:44378128f8a546f4a5dfb8ac92ce392a,65780,124.0
sg:bc1c59dc59444450934d5855da14b0be,22580,76.0
sg:b945dc63aa7e481f97bb537ce9c200f2,1697863,48.0
sg:33e76cd3a9834875bfcd4054e576d04d,12796,33.0
sg:9ee997df67fd4986a79434f78765150a,68132,42.5
sg:58715778fbc34d508328baa71b690263,110867,27.0
sg:7ad5d0af4a2343bfb24dc139e446fed4,6268,50.0
sg:1e69646cf4f343d8817245f7206739d7,44493,30.0
sg:9e95d8bb5b154a6e859287f20de4bf8a,412010,20.5
sg:6eda5ed46e3b4d1faba6b9bf0984e8bc,8985,50.5
sg:67c4e4afd1c446c3a33b5287ebd44b41,17915,66.0
