id,feet,median
sg:f635b8f7d6a94248abd5755d9b3e389e,12667,18.0
sg:aad19e14b43444009b5deb8123a9ce2e,42323,27.0
sg:c963766b869e44739ad059c9caa8dc79,1587,42.0
sg:ae6034f1ee7041e69e69b864e6cd8abf,22726,11.0
sg:7b21376c1bdc4216ad9e1e00ede405ac,19450,118.0
sg:2bea17d3728b4a769bb2f7c6af5200b3,18063,22.0
sg:39aae9ebc90b4fbf88c5f528d75fcf0a,26949,20.5
sg:af27b75a419c4e999c6c3c295221de0b,9117,22.0
sg:aa934d617e1449cf898cfc44fc6a314d,9541,11.0
sg:c6e1a66268d840dfa3d66e0bbed1e01d,13593,11.5
sg:0f0148cf9a5b4e9aaeb13dec7e4ee4c3,63944,23.0
sg:fca3990b5c55461381a836b95dea69f4,33013,21.0
sg:f279b1944c2449f6944adee590b3d676,12209,15.5
sg:cff140db53db4afc98961464bd3cddf7,16660,81.0
sg:4d993216b04c42739e66569862b5f6bf,109859,21.0
sg:c9a817335ce9415fb01dcb7ffefc6b15,4533,16.0
sg:ec4bd2533f9d4824838dd1cfc1671262,135176,27.0
sg:3579eefa7339452fb728766b534ef86b,4424,21.0
sg:2eade54ec48e4578bcdb00bdb2629775,6881,24.0
sg:cb998447ea744945adb5011a58bba318,6290,11.5
sg:aff5e87b298445ad99a3cad90a7e828c,86848,83.0
sg:7c36e24c0caa4d8b9aeeec7d60f1adc5,104011,21.0
sg:7db6d00e05a64dcb80dc81f74b803483,33488,123.0
sg:2e0773cd11f74f10ae4df07f33f5a5fa,19154,21.0
sg:834da64870f84674aefb63dd94710317,1770,93.5
sg:6d51774660fa4fb39f98a0feecc36e7e,9635,16.5
sg:111c31c0df3345e48012dc71bbfb5382,34858,21.0
sg:5747e030e6154e3ea3f144a2747e656f,161731,201.0
sg:e9b19f9627ef47278ea259d93dcaa0ad,142725,40.0
sg:a233e364aa174ad585da69aacaaef7e3,142067,26.0
sg:3b14c1fadec44041ad4e9a59103ade58,109118,43.0
sg:6013921f8a34413ba44ff0d7b7c83fbe,32016,43.0
sg:9b041a3dd07d49b3a897bbf7e17b4acf,6660,93.0
sg:5773a46b30384ba8aee29ae9f8dfbbb7,26910,21.0
sg:e44ec77570294226beccb3768c2895ff,154532,22.0
sg:6219258ce8d048559f424880f7ddfdcb,7237,19.5
sg:9e1a6f1a2e58497bb7a549145f922d8f,103663,20.0
sg:591f9c035e7f44988e63d74ec76b343f,4649,240.0
sg:63d89f333b35400f8a0645ae07849e96,131060,22.0
sg:af2dbaa39bec40fd86e44f42bd0da36d,9634,14.0
sg:68b3647d399740fb80cb017968e40352,65869,20.5
sg:fbbb5bfac0c74348865403ceba94c4f8,9430,130.0
sg:5ffa9a166a32421ea5d7b06c90e265e8,24504,12.0
sg:faa492a280c54fa4a01cd11439205130,20782,46.5
sg:c6247985ffdf4993aed788124cb293db,8556,14.0
sg:b51598f8141d4c92a84e47c104855c68,10058,7.0
sg:78699be3c0844158ab4ec57d88dda303,68657,13.5
sg:1a149c82c06e4df0bf56b6c2237a2bca,18258,17.0
sg:67800b6dd2fe47179d13ed9cb2fb699f,15170,11.0
sg:1396256db8034935a1d682d5595c0ca7,15918,22.0
sg:395aa12bff1042708752b72123e398b7,123061,25.0
sg:a7c00a0ec0b54090b1ce185a0a2ee1d3,9270,21.0
sg:754680c4dc2049f4b11acf348c96c9db,10728,17.0
sg:24bb6ea485184b4ab527cfd4409fb6e1,49705,35.5
sg:25091d73e7d24644936b0ce41bd474f5,6962,209.5
sg:b80af463c9424d7981edf595c0493caf,33046,20.0
sg:de03f73011074533a21cf6144b466510,5794,36.5
sg:0dba536b18b445e18a814d70b77a61ee,6374,14.0
sg:4bed5ddbe9ff4123b532c4167ae02619,15132,18.0
sg:7501b505d899437ab4f554bc58754756,1506,34.0
sg:ebd185a7e0074a2cbd0be70efff767da,156515,26.0
sg:39204b35825c4df7a2f842409b97cfd8,10090,11.5
sg:f9568fc376804b46b8551b3c3dc29727,13189,16.5
sg:aeba8d634ae14ea699ac4cf7726c4719,12581,12.5
