id,feet,median
sg:95bd5bc0eb5443e8a661f701827fc99f,115003,26.0
sg:4408dc57bd2d45d38b895b7b83488dc7,87169,23.0
sg:9a09f2fe89604a4c97540ac5efd8117b,30710,25.0
sg:e1af0fe9e3a44890b1389ca1d135e870,5324,21.0
sg:752fe4640cea49838d2e622629f30aa2,5346,13.0
sg:078effe2474d4f7183000a1471116deb,4018,13.0
sg:f03a748b39a942deb8cb20c813b91383,9480,18.0
sg:ba96e69925df4f9581e9ae73ff20583f,148620,24.0
sg:c38fb1aea1ff45b9ad63d8260ec2923f,11377,19.0
sg:46fbe430f9634349a660b425a70056eb,13305,25.0
sg:a433d6f903454730916e983c47adf11c,3505,32.0
sg:cbc1f50da0624a5cab705628a791db92,791,44.0
sg:56fa9bb539e341989ff0d4c3c2070eb9,33848,11.0
sg:46668b8b3f7e44cab34bb024faddd0cd,8209,22.0
sg:bcea549b7a7644308a20288cfc8d8daf,3045,10.0
sg:c94ebb158849412f898864192a3a0d56,15289,11.0
sg:2384940104f64421899ba2908fa0f9af,6202,11.0
sg:0721e9cc042e44209012c40f80f84018,33897,17.0
sg:98a70b1dccea4ae88251d1b750a955ca,6528,17.0
sg:8b3bbe51881e4b6ea016ff0dbb33ed39,32636,24.0
sg:3223ea62faf0480d99042df37fc3ebd1,564062,24.0
sg:20870082f19d4d1fa926e85a76a55ad4,14828,11.0
sg:50fa043a35e644b9a95590175f782526,12441,14.0
sg:13d1b751da05481e90621fffbf289890,21303,21.0
sg:96df05a9249f4bb3af6a70f4aa301c9d,6976,10.0
sg:25ea47a64d464a3b9bf0e5e7b87ec0cf,9433,12.0
sg:7aad4a71c0514fe58109f993483cd98c,7817,12.0
sg:669b57da80ef4cb6871dc9fdc8c5b42e,13493,22.0
sg:934c47121ce4418bb187bbe160966b98,9164,9.0
sg:8152221228e747d18d7fa30b4c7d35c8,40527,19.0
sg:50efcbea86f9433abd5455b3b837fbed,8787,10.0
sg:b0ec0ee9c1ef4483b002f3942c140a7c,1550,46.0
sg:90a818ace24d4ebcae7eb0467f994ef8,1522,138.5
sg:7516288762c04ad999b934844e4c4ba7,10929,13.0
sg:ab4d983cef5b4a45a4e2830df20540e1,20518,12.0
sg:10b44d788d5545e7bb5c11c55dd5abbd,126772,21.0
sg:c9f4acde3c9e4a6e9e2453441d1e0044,14396,11.0
sg:91246ac36230430e91a665b6d0a37793,32122,158.0
sg:578274fecc404f1abafc325bb28e404c,8607,11.0
sg:1ebd39a3667f47f2a1c9c6a5ccb7b413,2702,14.0
sg:54410562235f41df9d47d936cd19d934,119001,32.5
sg:bb4eb3effed947f5ae1dcb7fc620024e,4217,15.0
sg:00a4b33b7b5549e2b5b47adbe338198f,13305,12.0
