,,Baseline,No_Vaccination,Age,Age_Reverse,Income,Income_Reverse,Occupation,Occupation_Reverse,Minority,Minority_Reverse
All,deaths_total_abs,0.000084,0.000091,0.000078,0.000088,0.000085,0.000085,0.000082,0.000086,0.000083,0.000087
All,deaths_total_rel,0.000000,0.075243,-0.074914,0.040887,0.002799,0.007738,-0.025191,0.023160,-0.013007,0.031008
Elder_Ratio,deaths_gini_abs,0.233882,0.228021,0.152260,0.258821,0.222110,0.224962,0.245877,0.231665,0.207555,0.240709
Elder_Ratio,deaths_gini_rel,0.000000,-0.025060,-0.348985,0.106633,-0.050331,-0.038136,0.051288,-0.009480,-0.112564,0.029192
Mean_Household_Income,deaths_gini_abs,0.031853,0.030010,0.026113,0.039902,0.014152,0.072658,0.043349,0.033085,0.041165,0.028872
Mean_Household_Income,deaths_gini_rel,0.000000,-0.057854,-0.180204,0.252686,-0.555715,1.281039,0.360898,0.038684,0.292353,-0.093595
EW_Ratio,deaths_gini_abs,0.089565,0.093401,0.098510,0.086431,0.089561,0.091621,0.047773,0.125691,0.088966,0.093746
EW_Ratio,deaths_gini_rel,0.000000,0.042828,0.099871,-0.034991,-0.000046,0.022958,-0.466608,0.403344,-0.006691,0.046683
Minority_Ratio,deaths_gini_abs,0.071672,0.077111,0.051177,0.084453,0.090801,0.063965,0.082854,0.079032,0.038964,0.110098
Minority_Ratio,deaths_gini_rel,0.000000,0.075889,-0.285958,0.178321,0.266902,-0.107537,0.156018,0.102697,-0.456350,0.536139
