,,Baseline,No_Vaccination,Age,Age_Reverse,Income,Income_Reverse,Occupation,Occupation_Reverse,Minority,Minority_Reverse
All,deaths_total_abs,0.000045,0.000048,0.000042,0.000048,0.000045,0.000046,0.000044,0.000046,0.000045,0.000047
All,deaths_total_rel,0.000000,0.066386,-0.078028,0.054578,-0.001651,0.023615,-0.027000,0.015358,-0.000248,0.039055
Elder_Ratio,deaths_gini_abs,0.343249,0.341207,0.280981,0.369057,0.340214,0.349362,0.357634,0.345936,0.324917,0.351377
Elder_Ratio,deaths_gini_rel,0.000000,-0.005949,-0.181408,0.075187,-0.008844,0.017809,0.041908,0.007827,-0.053408,0.023679
Mean_Household_Income,deaths_gini_abs,0.118759,0.125455,0.115060,0.123572,0.082131,0.158309,0.126515,0.125560,0.119716,0.128167
Mean_Household_Income,deaths_gini_rel,0.000000,0.056382,-0.031153,0.040519,-0.308424,0.333021,0.065302,0.057264,0.008052,0.079213
EW_Ratio,deaths_gini_abs,0.127680,0.120723,0.125664,0.130683,0.131391,0.129133,0.082466,0.166161,0.136745,0.125935
EW_Ratio,deaths_gini_rel,0.000000,-0.054488,-0.015784,0.023525,0.029067,0.011382,-0.354116,0.301386,0.070997,-0.013663
Minority_Ratio,deaths_gini_abs,0.204267,0.205993,0.173761,0.217728,0.213287,0.198186,0.210191,0.200862,0.166982,0.232034
Minority_Ratio,deaths_gini_rel,0.000000,0.008448,-0.149345,0.065898,0.044156,-0.029773,0.028998,-0.016671,-0.182529,0.135933
