,,Baseline,No_Vaccination,Age,Age_Reverse,Income,Income_Reverse,Occupation,Occupation_Reverse,Minority,Minority_Reverse
All,deaths_total_abs,0.000039,0.000041,0.000037,0.000041,0.000039,0.000040,0.000038,0.000040,0.000040,0.000040
All,deaths_total_rel,0.000000,0.048246,-0.048596,0.048945,-0.007575,0.012003,-0.030882,0.020161,0.019928,0.016898
Elder_Ratio,deaths_gini_abs,0.322517,0.316714,0.263401,0.333835,0.319677,0.317370,0.326721,0.323497,0.317689,0.314473
Elder_Ratio,deaths_gini_rel,0.000000,-0.017995,-0.183296,0.035091,-0.008807,-0.015961,0.013033,0.003036,-0.014971,-0.024942
Mean_Household_Income,deaths_gini_abs,0.083646,0.074212,0.081088,0.073237,0.040287,0.108801,0.086672,0.076113,0.083597,0.069513
Mean_Household_Income,deaths_gini_rel,0.000000,-0.112785,-0.030587,-0.124448,-0.518370,0.300727,0.036174,-0.090058,-0.000588,-0.168962
EW_Ratio,deaths_gini_abs,0.119110,0.130472,0.127590,0.124644,0.119215,0.131159,0.085158,0.155229,0.131311,0.131629
EW_Ratio,deaths_gini_rel,0.000000,0.095392,0.071192,0.046463,0.000882,0.101158,-0.285047,0.303242,0.102437,0.105105
Minority_Ratio,deaths_gini_abs,0.106116,0.109108,0.088013,0.112935,0.134473,0.110237,0.089278,0.105441,0.076979,0.130288
Minority_Ratio,deaths_gini_rel,0.000000,0.028187,-0.170597,0.064256,0.267216,0.038835,-0.158676,-0.006364,-0.274581,0.227782
