,,Baseline,No_Vaccination,Age,Age_Reverse,Income,Income_Reverse,Occupation,Occupation_Reverse,Minority,Minority_Reverse
All,deaths_total_abs,0.000100,0.000107,0.000093,0.000101,0.000094,0.000101,0.000099,0.000101,0.000100,0.000102
All,deaths_total_rel,0.000000,0.065616,-0.070967,0.007806,-0.061587,0.009799,-0.010849,0.009988,-0.003462,0.014668
Elder_Ratio,deaths_gini_abs,0.235713,0.230873,0.153508,0.273720,0.253928,0.217578,0.234616,0.226179,0.217650,0.233550
Elder_Ratio,deaths_gini_rel,0.000000,-0.020531,-0.348749,0.161242,0.077278,-0.076938,-0.004652,-0.040447,-0.076631,-0.009176
Mean_Household_Income,deaths_gini_abs,0.114585,0.120154,0.124951,0.102149,0.041367,0.162291,0.115723,0.123569,0.130594,0.125391
Mean_Household_Income,deaths_gini_rel,0.000000,0.048606,0.090473,-0.108525,-0.638983,0.416345,0.009935,0.078408,0.139716,0.094309
EW_Ratio,deaths_gini_abs,0.065573,0.065892,0.062677,0.069287,0.043389,0.070285,0.022661,0.112109,0.070102,0.068034
EW_Ratio,deaths_gini_rel,0.000000,0.004875,-0.044167,0.056647,-0.338302,0.071858,-0.654421,0.709690,0.069075,0.037530
Minority_Ratio,deaths_gini_abs,0.056419,0.059840,0.050416,0.053025,0.089355,0.047634,0.043313,0.058027,0.018726,0.095300
Minority_Ratio,deaths_gini_rel,0.000000,0.060650,-0.106402,-0.060158,0.583790,-0.155710,-0.232297,0.028515,-0.668094,0.689162
