,,Baseline,No_Vaccination,Age,Age_Reverse,Income,Income_Reverse,Occupation,Occupation_Reverse,Minority,Minority_Reverse
All,deaths_total_abs,0.000158,0.000166,0.000153,0.000162,0.000156,0.000161,0.000156,0.000161,0.000159,0.000161
All,deaths_total_rel,0.000000,0.045279,-0.033547,0.021593,-0.016678,0.013888,-0.012303,0.017154,0.004978,0.015695
Elder_Ratio,deaths_gini_abs,0.315792,0.313645,0.276902,0.330446,0.308367,0.314183,0.312090,0.312211,0.301755,0.318591
Elder_Ratio,deaths_gini_rel,0.000000,-0.006798,-0.123149,0.046406,-0.023513,-0.005094,-0.011723,-0.011339,-0.044449,0.008863
Mean_Household_Income,deaths_gini_abs,0.066034,0.065102,0.070567,0.070701,0.040348,0.089216,0.063392,0.064679,0.075016,0.068200
Mean_Household_Income,deaths_gini_rel,0.000000,-0.014120,0.068644,0.070677,-0.388980,0.351061,-0.040005,-0.020526,0.136018,0.032800
EW_Ratio,deaths_gini_abs,0.039705,0.038579,0.038575,0.038535,0.032771,0.046016,0.019566,0.061203,0.036749,0.041177
EW_Ratio,deaths_gini_rel,0.000000,-0.028361,-0.028459,-0.029471,-0.174645,0.158943,-0.507203,0.541458,-0.074452,0.037065
Minority_Ratio,deaths_gini_abs,0.115905,0.112455,0.087422,0.120763,0.107178,0.108925,0.110649,0.118513,0.086683,0.138434
Minority_Ratio,deaths_gini_rel,0.000000,-0.029763,-0.245738,0.041920,-0.075289,-0.060214,-0.045340,0.022502,-0.252117,0.194381
