,,Baseline,No_Vaccination,Age,Age_Reverse,Income,Income_Reverse,Occupation,Occupation_Reverse,Minority,Minority_Reverse
All,deaths_total_abs,0.000466,0.000498,0.000456,0.000470,0.000405,0.000494,0.000445,0.000488,0.000456,0.000493
All,deaths_total_rel,0.000000,0.068469,-0.021250,0.006991,-0.130679,0.058906,-0.045359,0.046560,-0.021155,0.056154
Elder_Ratio,deaths_gini_abs,0.124530,0.130730,0.072639,0.171469,0.144197,0.128760,0.140648,0.137439,0.152358,0.129763
Elder_Ratio,deaths_gini_rel,0.000000,0.049787,-0.416696,0.376931,0.157931,0.033967,0.129433,0.103667,0.223466,0.042024
Mean_Household_Income,deaths_gini_abs,0.467278,0.469877,0.471706,0.460826,0.400232,0.482570,0.445523,0.483170,0.454232,0.476637
Mean_Household_Income,deaths_gini_rel,0.000000,0.005562,0.009476,-0.013807,-0.143481,0.032726,-0.046558,0.034009,-0.027918,0.020028
EW_Ratio,deaths_gini_abs,0.314368,0.319482,0.309301,0.313594,0.243360,0.326328,0.269451,0.344987,0.313079,0.321780
EW_Ratio,deaths_gini_rel,0.000000,0.016268,-0.016117,-0.002462,-0.225873,0.038047,-0.142878,0.097401,-0.004097,0.023578
Minority_Ratio,deaths_gini_abs,0.404781,0.401303,0.411540,0.388608,0.327130,0.406037,0.384785,0.408422,0.369977,0.415934
Minority_Ratio,deaths_gini_rel,0.000000,-0.008592,0.016697,-0.039956,-0.191835,0.003102,-0.049401,0.008994,-0.085984,0.027552
