,,Baseline,No_Vaccination,Age,Age_Reverse,Income,Income_Reverse,Occupation,Occupation_Reverse,Minority,Minority_Reverse
All,deaths_total_abs,0.000039,0.000041,0.000039,0.000040,0.000037,0.000041,0.000038,0.000039,0.000037,0.000041
All,deaths_total_rel,0.000000,0.047748,-0.012654,0.019403,-0.056690,0.038805,-0.041168,-0.008267,-0.056690,0.037793
Elder_Ratio,deaths_gini_abs,0.288404,0.289647,0.265081,0.311773,0.290402,0.283767,0.311619,0.280279,0.303667,0.298051
Elder_Ratio,deaths_gini_rel,0.000000,0.004309,-0.080871,0.081029,0.006926,-0.016079,0.080494,-0.028173,0.052920,0.033448
Mean_Household_Income,deaths_gini_abs,0.272228,0.266604,0.271144,0.266996,0.229330,0.277132,0.251980,0.260985,0.257876,0.264819
Mean_Household_Income,deaths_gini_rel,0.000000,-0.020659,-0.003981,-0.019221,-0.157582,0.018014,-0.074379,-0.041299,-0.052720,-0.027216
EW_Ratio,deaths_gini_abs,0.088387,0.086242,0.100138,0.087834,0.083115,0.086721,0.042560,0.120420,0.087525,0.088782
EW_Ratio,deaths_gini_rel,0.000000,-0.024265,0.132949,-0.006260,-0.059647,-0.018843,-0.518475,0.362416,-0.009753,0.004474
Minority_Ratio,deaths_gini_abs,0.201247,0.202691,0.214185,0.208046,0.177744,0.219143,0.192191,0.193754,0.163836,0.214828
Minority_Ratio,deaths_gini_rel,0.000000,0.007176,0.064285,0.033782,-0.116790,0.088923,-0.045000,-0.037233,-0.185897,0.067480
