,,Baseline,No_Vaccination,Age,Age_Reverse,Income,Income_Reverse,Occupation,Occupation_Reverse,Minority,Minority_Reverse
All,deaths_total_abs,0.000211,0.000228,0.000192,0.000219,0.000200,0.000216,0.000211,0.000214,0.000207,0.000221
All,deaths_total_rel,0.000000,0.081774,-0.088003,0.037102,-0.052768,0.026258,-0.000944,0.013591,-0.016737,0.048846
Elder_Ratio,deaths_gini_abs,0.294987,0.298448,0.210887,0.343782,0.306110,0.311049,0.274672,0.298480,0.312085,0.287538
Elder_Ratio,deaths_gini_rel,0.000000,0.011733,-0.285100,0.165414,0.037707,0.054448,-0.068869,0.011840,0.057962,-0.025255
Mean_Household_Income,deaths_gini_abs,0.139139,0.126062,0.135275,0.129144,0.062611,0.174703,0.130802,0.133220,0.105934,0.132476
Mean_Household_Income,deaths_gini_rel,0.000000,-0.093985,-0.027773,-0.071839,-0.550009,0.255595,-0.059919,-0.042544,-0.238648,-0.047889
EW_Ratio,deaths_gini_abs,0.127643,0.124095,0.087600,0.137972,0.098481,0.137889,0.072785,0.187415,0.143528,0.132492
EW_Ratio,deaths_gini_rel,0.000000,-0.027798,-0.313709,0.080920,-0.228466,0.080272,-0.429773,0.468281,0.124451,0.037991
Minority_Ratio,deaths_gini_abs,0.128539,0.132576,0.179488,0.123078,0.082464,0.127910,0.131382,0.137518,0.068635,0.167109
Minority_Ratio,deaths_gini_rel,0.000000,0.031406,0.396367,-0.042488,-0.358456,-0.004900,0.022111,0.069853,-0.466040,0.300060
