,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000290,0.000305,0.000283,0.000294,0.000290,0.000292
All,deaths_total_rel,0.000000,0.054031,-0.022831,0.013848,0.000828,0.005875
Elder_Ratio,deaths_gini_abs,0.226942,0.228453,0.189646,0.228135,0.219726,0.233128
Elder_Ratio,deaths_gini_rel,0.000000,0.006662,-0.164339,0.005260,-0.031797,0.027258
Mean_Household_Income,deaths_gini_abs,0.212663,0.203322,0.212407,0.180400,0.201782,0.187711
Mean_Household_Income,deaths_gini_rel,0.000000,-0.043924,-0.001204,-0.151708,-0.051163,-0.117330
EW_Ratio,deaths_gini_abs,0.147209,0.143136,0.129808,0.123772,0.113263,0.136144
EW_Ratio,deaths_gini_rel,0.000000,-0.027663,-0.118206,-0.159209,-0.230597,-0.075160
Minority_Ratio,deaths_gini_abs,0.213720,0.203770,0.222386,0.185568,0.202105,0.178179
Minority_Ratio,deaths_gini_rel,0.000000,-0.046556,0.040550,-0.131724,-0.054344,-0.166296
