,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000047,0.000048,0.000045,0.000046,0.000046,0.000046
All,deaths_total_rel,0.000000,0.036600,-0.030420,-0.009872,-0.018782,-0.021109
Elder_Ratio,deaths_gini_abs,0.339753,0.341207,0.315284,0.343538,0.346091,0.329029
Elder_Ratio,deaths_gini_rel,0.000000,0.004280,-0.072019,0.011139,0.018654,-0.031565
Mean_Household_Income,deaths_gini_abs,0.123961,0.125455,0.113232,0.096528,0.123498,0.126915
Mean_Household_Income,deaths_gini_rel,0.000000,0.012056,-0.086551,-0.221302,-0.003737,0.023831
EW_Ratio,deaths_gini_abs,0.124963,0.120723,0.130386,0.125004,0.104412,0.138745
EW_Ratio,deaths_gini_rel,0.000000,-0.033931,0.043402,0.000330,-0.164458,0.110288
Minority_Ratio,deaths_gini_abs,0.205079,0.205993,0.193858,0.204827,0.212356,0.174059
Minority_Ratio,deaths_gini_rel,0.000000,0.004455,-0.054715,-0.001229,0.035483,-0.151260
