,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000087,0.000091,0.000084,0.000088,0.000086,0.000085
All,deaths_total_rel,0.000000,0.045743,-0.028076,0.018895,-0.008807,-0.024019
Elder_Ratio,deaths_gini_abs,0.230769,0.228021,0.188037,0.232709,0.239574,0.214935
Elder_Ratio,deaths_gini_rel,0.000000,-0.011908,-0.185170,0.008406,0.038156,-0.068614
Mean_Household_Income,deaths_gini_abs,0.032535,0.030010,0.033053,0.015550,0.041585,0.042977
Mean_Household_Income,deaths_gini_rel,0.000000,-0.077618,0.015918,-0.522074,0.278161,0.320935
EW_Ratio,deaths_gini_abs,0.097219,0.093401,0.092107,0.097894,0.060824,0.092791
EW_Ratio,deaths_gini_rel,0.000000,-0.039274,-0.052588,0.006938,-0.374360,-0.045547
Minority_Ratio,deaths_gini_abs,0.070181,0.077111,0.054539,0.082487,0.078570,0.048842
Minority_Ratio,deaths_gini_rel,0.000000,0.098754,-0.222870,0.175350,0.119538,-0.304055
