,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000163,0.000166,0.000160,0.000164,0.000162,0.000161
All,deaths_total_rel,0.000000,0.016277,-0.017788,0.003391,-0.006166,-0.013996
Elder_Ratio,deaths_gini_abs,0.315623,0.313645,0.293373,0.311426,0.309496,0.303541
Elder_Ratio,deaths_gini_rel,0.000000,-0.006267,-0.070495,-0.013299,-0.019414,-0.038280
Mean_Household_Income,deaths_gini_abs,0.070356,0.065102,0.071973,0.060978,0.069676,0.080236
Mean_Household_Income,deaths_gini_rel,0.000000,-0.074687,0.022970,-0.133295,-0.009673,0.140425
EW_Ratio,deaths_gini_abs,0.041597,0.038579,0.034710,0.039916,0.030225,0.037148
EW_Ratio,deaths_gini_rel,0.000000,-0.072553,-0.165556,-0.040400,-0.273383,-0.106962
Minority_Ratio,deaths_gini_abs,0.112197,0.112455,0.101059,0.112424,0.111834,0.091896
Minority_Ratio,deaths_gini_rel,0.000000,0.002299,-0.099267,0.002027,-0.003237,-0.180939
