,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000040,0.000041,0.000040,0.000039,0.000039,0.000040
All,deaths_total_rel,0.000000,0.023064,-0.000988,-0.032125,-0.025865,-0.015486
Elder_Ratio,deaths_gini_abs,0.294124,0.289647,0.283944,0.281923,0.295030,0.288055
Elder_Ratio,deaths_gini_rel,0.000000,-0.015220,-0.034609,-0.041480,0.003081,-0.020632
Mean_Household_Income,deaths_gini_abs,0.269915,0.266604,0.273074,0.242809,0.268099,0.252392
Mean_Household_Income,deaths_gini_rel,0.000000,-0.012266,0.011704,-0.100424,-0.006727,-0.064922
EW_Ratio,deaths_gini_abs,0.088550,0.086242,0.091725,0.081163,0.060204,0.084391
EW_Ratio,deaths_gini_rel,0.000000,-0.026059,0.035862,-0.083422,-0.320111,-0.046960
Minority_Ratio,deaths_gini_abs,0.211109,0.202691,0.214602,0.188026,0.208470,0.196482
Minority_Ratio,deaths_gini_rel,0.000000,-0.039873,0.016547,-0.109341,-0.012501,-0.069286
