,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000102,0.000107,0.000097,0.000099,0.000101,0.000101
All,deaths_total_rel,0.000000,0.046576,-0.053356,-0.031820,-0.008614,-0.009769
Elder_Ratio,deaths_gini_abs,0.234381,0.230873,0.171466,0.244633,0.232636,0.217521
Elder_Ratio,deaths_gini_rel,0.000000,-0.014965,-0.268431,0.043739,-0.007447,-0.071933
Mean_Household_Income,deaths_gini_abs,0.124159,0.120154,0.131886,0.065998,0.120054,0.134192
Mean_Household_Income,deaths_gini_rel,0.000000,-0.032254,0.062237,-0.468440,-0.033060,0.080812
EW_Ratio,deaths_gini_abs,0.061269,0.065892,0.062018,0.046981,0.027492,0.069855
EW_Ratio,deaths_gini_rel,0.000000,0.075455,0.012222,-0.233202,-0.551294,0.140133
Minority_Ratio,deaths_gini_abs,0.059395,0.059840,0.049683,0.063670,0.045121,0.020218
Minority_Ratio,deaths_gini_rel,0.000000,0.007492,-0.163520,0.071975,-0.240326,-0.659609
