,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000482,0.000498,0.000474,0.000450,0.000470,0.000470
All,deaths_total_rel,0.000000,0.034068,-0.017060,-0.065873,-0.025430,-0.025605
Elder_Ratio,deaths_gini_abs,0.125364,0.130730,0.097486,0.133740,0.132147,0.145377
Elder_Ratio,deaths_gini_rel,0.000000,0.042802,-0.222372,0.066811,0.054108,0.159640
Mean_Household_Income,deaths_gini_abs,0.471126,0.469877,0.473211,0.436422,0.459492,0.460448
Mean_Household_Income,deaths_gini_rel,0.000000,-0.002652,0.004426,-0.073661,-0.024694,-0.022665
EW_Ratio,deaths_gini_abs,0.318556,0.319482,0.316747,0.283246,0.297211,0.315727
EW_Ratio,deaths_gini_rel,0.000000,0.002905,-0.005681,-0.110844,-0.067007,-0.008882
Minority_Ratio,deaths_gini_abs,0.404403,0.401303,0.408107,0.365818,0.395263,0.379514
Minority_Ratio,deaths_gini_rel,0.000000,-0.007665,0.009158,-0.095413,-0.022603,-0.061545
