,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000217,0.000228,0.000203,0.000211,0.000217,0.000213
All,deaths_total_rel,0.000000,0.053299,-0.062264,-0.026139,0.004084,-0.017419
Elder_Ratio,deaths_gini_abs,0.293736,0.298448,0.238234,0.301654,0.284900,0.308102
Elder_Ratio,deaths_gini_rel,0.000000,0.016042,-0.188954,0.026957,-0.030083,0.048907
Mean_Household_Income,deaths_gini_abs,0.131482,0.126062,0.143283,0.083344,0.130489,0.114497
Mean_Household_Income,deaths_gini_rel,0.000000,-0.041218,0.089757,-0.366118,-0.007554,-0.129184
EW_Ratio,deaths_gini_abs,0.125843,0.124095,0.104261,0.114878,0.091764,0.141827
EW_Ratio,deaths_gini_rel,0.000000,-0.013890,-0.171498,-0.087128,-0.270803,0.127023
Minority_Ratio,deaths_gini_abs,0.130150,0.132576,0.166299,0.096388,0.131026,0.086863
Minority_Ratio,deaths_gini_rel,0.000000,0.018644,0.277753,-0.259406,0.006729,-0.332591
