,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000087,0.000091,0.000084,0.000086,0.000085,0.000087
All,deaths_total_rel,0.000000,0.048598,-0.035378,-0.001766,-0.016592,0.002516
Elder_Ratio,deaths_gini_abs,0.231047,0.228021,0.188287,0.220737,0.230668,0.223375
Elder_Ratio,deaths_gini_rel,0.000000,-0.013096,-0.185069,-0.044621,-0.001637,-0.033205
Mean_Household_Income,deaths_gini_abs,0.030540,0.030010,0.034067,0.010502,0.035547,0.032011
Mean_Household_Income,deaths_gini_rel,0.000000,-0.017351,0.115483,-0.656115,0.163936,0.048179
EW_Ratio,deaths_gini_abs,0.089871,0.093401,0.088704,0.100401,0.065063,0.094063
EW_Ratio,deaths_gini_rel,0.000000,0.039281,-0.012986,0.117171,-0.276041,0.046644
Minority_Ratio,deaths_gini_abs,0.082218,0.077111,0.063369,0.073237,0.071687,0.063561
Minority_Ratio,deaths_gini_rel,0.000000,-0.062109,-0.229254,-0.109233,-0.128085,-0.226920
