,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000288,0.000305,0.000281,0.000283,0.000286,0.000281
All,deaths_total_rel,0.000000,0.059934,-0.024715,-0.017130,-0.008793,-0.023495
Elder_Ratio,deaths_gini_abs,0.230088,0.228453,0.184644,0.227783,0.223147,0.227887
Elder_Ratio,deaths_gini_rel,0.000000,-0.007105,-0.197509,-0.010021,-0.030168,-0.009567
Mean_Household_Income,deaths_gini_abs,0.203420,0.203322,0.197197,0.159800,0.189194,0.165651
Mean_Household_Income,deaths_gini_rel,0.000000,-0.000481,-0.030589,-0.214434,-0.069931,-0.185668
EW_Ratio,deaths_gini_abs,0.146715,0.143136,0.125768,0.126210,0.108092,0.106869
EW_Ratio,deaths_gini_rel,0.000000,-0.024393,-0.142777,-0.139762,-0.263256,-0.271591
Minority_Ratio,deaths_gini_abs,0.206895,0.203770,0.212551,0.178783,0.192047,0.155065
Minority_Ratio,deaths_gini_rel,0.000000,-0.015104,0.027338,-0.135876,-0.071767,-0.250514
