,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000047,0.000048,0.000045,0.000046,0.000046,0.000046
All,deaths_total_rel,0.000000,0.038684,-0.037960,-0.009088,-0.007560,-0.020991
Elder_Ratio,deaths_gini_abs,0.346111,0.341207,0.312219,0.342211,0.347143,0.327618
Elder_Ratio,deaths_gini_rel,0.000000,-0.014168,-0.097922,-0.011269,0.002980,-0.053431
Mean_Household_Income,deaths_gini_abs,0.122985,0.125455,0.121484,0.102894,0.125733,0.126322
Mean_Household_Income,deaths_gini_rel,0.000000,0.020090,-0.012205,-0.163355,0.022346,0.027136
EW_Ratio,deaths_gini_abs,0.129406,0.120723,0.131545,0.127299,0.104813,0.135190
EW_Ratio,deaths_gini_rel,0.000000,-0.067100,0.016532,-0.016280,-0.190047,0.044697
Minority_Ratio,deaths_gini_abs,0.203407,0.205993,0.195932,0.202095,0.210320,0.179202
Minority_Ratio,deaths_gini_rel,0.000000,0.012711,-0.036752,-0.006453,0.033986,-0.119000
