,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000041,0.000041,0.000040,0.000041,0.000040,0.000040
All,deaths_total_rel,0.000000,0.018686,-0.016195,0.004757,-0.021857,-0.001586
Elder_Ratio,deaths_gini_abs,0.318279,0.316714,0.296683,0.310705,0.331886,0.311632
Elder_Ratio,deaths_gini_rel,0.000000,-0.004918,-0.067852,-0.023795,0.042751,-0.020882
Mean_Household_Income,deaths_gini_abs,0.078268,0.074212,0.082947,0.056374,0.085952,0.082401
Mean_Household_Income,deaths_gini_rel,0.000000,-0.051815,0.059789,-0.279736,0.098181,0.052808
EW_Ratio,deaths_gini_abs,0.128025,0.130472,0.125605,0.130753,0.107822,0.126289
EW_Ratio,deaths_gini_rel,0.000000,0.019113,-0.018902,0.021308,-0.157804,-0.013566
Minority_Ratio,deaths_gini_abs,0.099795,0.109108,0.097759,0.121812,0.104699,0.083394
Minority_Ratio,deaths_gini_rel,0.000000,0.093319,-0.020405,0.220620,0.049147,-0.164350
