,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000103,0.000107,0.000100,0.000103,0.000103,0.000103
All,deaths_total_rel,0.000000,0.038507,-0.026319,-0.001329,-0.000818,0.001534
Elder_Ratio,deaths_gini_abs,0.232797,0.230873,0.189674,0.238262,0.227884,0.229545
Elder_Ratio,deaths_gini_rel,0.000000,-0.008265,-0.185239,0.023472,-0.021104,-0.013973
Mean_Household_Income,deaths_gini_abs,0.116811,0.120154,0.123300,0.088579,0.110945,0.126670
Mean_Household_Income,deaths_gini_rel,0.000000,0.028621,0.055551,-0.241689,-0.050218,0.084397
EW_Ratio,deaths_gini_abs,0.063376,0.065892,0.061899,0.065412,0.038910,0.062977
EW_Ratio,deaths_gini_rel,0.000000,0.039705,-0.023303,0.032125,-0.386052,-0.006297
Minority_Ratio,deaths_gini_abs,0.053801,0.059840,0.051151,0.054754,0.051627,0.029758
Minority_Ratio,deaths_gini_rel,0.000000,0.112260,-0.049247,0.017709,-0.040405,-0.446881
