,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000163,0.000166,0.000161,0.000162,0.000163,0.000162
All,deaths_total_rel,0.000000,0.013933,-0.014517,-0.010119,-0.004644,-0.008950
Elder_Ratio,deaths_gini_abs,0.312681,0.313645,0.299050,0.317848,0.308156,0.310754
Elder_Ratio,deaths_gini_rel,0.000000,0.003083,-0.043596,0.016523,-0.014472,-0.006162
Mean_Household_Income,deaths_gini_abs,0.064224,0.065102,0.070771,0.058968,0.064824,0.079089
Mean_Household_Income,deaths_gini_rel,0.000000,0.013664,0.101938,-0.081848,0.009345,0.231447
EW_Ratio,deaths_gini_abs,0.040940,0.038579,0.037039,0.043696,0.027775,0.043394
EW_Ratio,deaths_gini_rel,0.000000,-0.057662,-0.095286,0.067332,-0.321562,0.059952
Minority_Ratio,deaths_gini_abs,0.117609,0.112455,0.104833,0.115242,0.111664,0.103475
Minority_Ratio,deaths_gini_rel,0.000000,-0.043823,-0.108634,-0.020128,-0.050549,-0.120178
