,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000487,0.000498,0.000483,0.000475,0.000478,0.000463
All,deaths_total_rel,0.000000,0.024137,-0.007608,-0.022996,-0.016886,-0.047917
Elder_Ratio,deaths_gini_abs,0.128405,0.130730,0.108872,0.129653,0.129510,0.132292
Elder_Ratio,deaths_gini_rel,0.000000,0.018107,-0.152115,0.009722,0.008611,0.030271
Mean_Household_Income,deaths_gini_abs,0.470137,0.469877,0.472128,0.457752,0.462554,0.451146
Mean_Household_Income,deaths_gini_rel,0.000000,-0.000553,0.004236,-0.026343,-0.016128,-0.040394
EW_Ratio,deaths_gini_abs,0.318555,0.319482,0.317845,0.317104,0.303891,0.296856
EW_Ratio,deaths_gini_rel,0.000000,0.002908,-0.002229,-0.004555,-0.046033,-0.068117
Minority_Ratio,deaths_gini_abs,0.402977,0.401303,0.407080,0.397563,0.396339,0.371952
Minority_Ratio,deaths_gini_rel,0.000000,-0.004152,0.010182,-0.013433,-0.016473,-0.076990
