,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000040,0.000041,0.000039,0.000039,0.000039,0.000039
All,deaths_total_rel,0.000000,0.022896,-0.032944,-0.025202,-0.042827,-0.029979
Elder_Ratio,deaths_gini_abs,0.296049,0.289647,0.272171,0.291144,0.293040,0.296154
Elder_Ratio,deaths_gini_rel,0.000000,-0.021624,-0.080654,-0.016568,-0.010162,0.000357
Mean_Household_Income,deaths_gini_abs,0.270262,0.266604,0.265578,0.239712,0.253782,0.258959
Mean_Household_Income,deaths_gini_rel,0.000000,-0.013536,-0.017333,-0.113039,-0.060980,-0.041823
EW_Ratio,deaths_gini_abs,0.086958,0.086242,0.098053,0.072515,0.056204,0.079339
EW_Ratio,deaths_gini_rel,0.000000,-0.008231,0.127594,-0.166088,-0.353660,-0.087612
Minority_Ratio,deaths_gini_abs,0.207462,0.202691,0.212055,0.194552,0.196138,0.186505
Minority_Ratio,deaths_gini_rel,0.000000,-0.022997,0.022139,-0.062228,-0.054583,-0.101020
