,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000221,0.000228,0.000210,0.000219,0.000221,0.000215
All,deaths_total_rel,0.000000,0.032096,-0.049925,-0.010865,0.000240,-0.026793
Elder_Ratio,deaths_gini_abs,0.295684,0.298448,0.256978,0.299989,0.285129,0.301400
Elder_Ratio,deaths_gini_rel,0.000000,0.009350,-0.130903,0.014559,-0.035697,0.019332
Mean_Household_Income,deaths_gini_abs,0.132944,0.126062,0.130129,0.101012,0.131525,0.102543
Mean_Household_Income,deaths_gini_rel,0.000000,-0.051762,-0.021172,-0.240190,-0.010672,-0.228677
EW_Ratio,deaths_gini_abs,0.132433,0.124095,0.109340,0.130858,0.102240,0.110482
EW_Ratio,deaths_gini_rel,0.000000,-0.062964,-0.174378,-0.011891,-0.227984,-0.165751
Minority_Ratio,deaths_gini_abs,0.135296,0.132576,0.150267,0.122633,0.134431,0.086977
Minority_Ratio,deaths_gini_rel,0.000000,-0.020099,0.110655,-0.093595,-0.006388,-0.357132
