,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000086,0.000091,0.000081,0.000086,0.000085,0.000083
All,deaths_total_rel,0.000000,0.059485,-0.057160,0.005949,-0.011518,-0.031906
Elder_Ratio,deaths_gini_abs,0.232666,0.228021,0.169304,0.225234,0.241012,0.205991
Elder_Ratio,deaths_gini_rel,0.000000,-0.019965,-0.272330,-0.031943,0.035873,-0.114647
Mean_Household_Income,deaths_gini_abs,0.028912,0.030010,0.031798,0.007366,0.039581,0.042765
Mean_Household_Income,deaths_gini_rel,0.000000,0.037996,0.099849,-0.745225,0.369035,0.479172
EW_Ratio,deaths_gini_abs,0.100097,0.093401,0.092815,0.092182,0.057575,0.082385
EW_Ratio,deaths_gini_rel,0.000000,-0.066897,-0.072753,-0.079074,-0.424808,-0.176953
Minority_Ratio,deaths_gini_abs,0.080736,0.077111,0.057251,0.089838,0.080844,0.047035
Minority_Ratio,deaths_gini_rel,0.000000,-0.044893,-0.290885,0.112748,0.001348,-0.417413
