,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000282,0.000305,0.000271,0.000272,0.000278,0.000277
All,deaths_total_rel,0.000000,0.084460,-0.036559,-0.034284,-0.014668,-0.015625
Elder_Ratio,deaths_gini_abs,0.231746,0.228453,0.165610,0.225530,0.220279,0.239011
Elder_Ratio,deaths_gini_rel,0.000000,-0.014209,-0.285381,-0.026824,-0.049481,0.031347
Mean_Household_Income,deaths_gini_abs,0.202409,0.203322,0.192236,0.138327,0.179819,0.173216
Mean_Household_Income,deaths_gini_rel,0.000000,0.004512,-0.050257,-0.316597,-0.111603,-0.144225
EW_Ratio,deaths_gini_abs,0.146684,0.143136,0.113050,0.093059,0.091811,0.128148
EW_Ratio,deaths_gini_rel,0.000000,-0.024186,-0.229299,-0.365585,-0.374089,-0.126366
Minority_Ratio,deaths_gini_abs,0.202541,0.203770,0.215730,0.147995,0.184669,0.159488
Minority_Ratio,deaths_gini_rel,0.000000,0.006067,0.065118,-0.269310,-0.088238,-0.212566
