,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000046,0.000048,0.000044,0.000046,0.000045,0.000045
All,deaths_total_rel,0.000000,0.042541,-0.058282,-0.017275,-0.020907,-0.022360
Elder_Ratio,deaths_gini_abs,0.344744,0.341207,0.297401,0.330428,0.353616,0.335308
Elder_Ratio,deaths_gini_rel,0.000000,-0.010259,-0.137330,-0.041528,0.025734,-0.027371
Mean_Household_Income,deaths_gini_abs,0.123450,0.125455,0.118650,0.091917,0.124269,0.118784
Mean_Household_Income,deaths_gini_rel,0.000000,0.016247,-0.038884,-0.255432,0.006639,-0.037794
EW_Ratio,deaths_gini_abs,0.138371,0.120723,0.128672,0.126828,0.100648,0.128635
EW_Ratio,deaths_gini_rel,0.000000,-0.127546,-0.070093,-0.083421,-0.272628,-0.070366
Minority_Ratio,deaths_gini_abs,0.200745,0.205993,0.182344,0.198165,0.211827,0.178143
Minority_Ratio,deaths_gini_rel,0.000000,0.026141,-0.091666,-0.012852,0.055206,-0.112592
