,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000040,0.000041,0.000038,0.000040,0.000039,0.000040
All,deaths_total_rel,0.000000,0.021231,-0.047570,0.001930,-0.033492,-0.018619
Elder_Ratio,deaths_gini_abs,0.314316,0.316714,0.287933,0.313170,0.332630,0.314356
Elder_Ratio,deaths_gini_rel,0.000000,0.007627,-0.083939,-0.003648,0.058266,0.000125
Mean_Household_Income,deaths_gini_abs,0.080679,0.074212,0.077946,0.055049,0.084295,0.083488
Mean_Household_Income,deaths_gini_rel,0.000000,-0.080153,-0.033876,-0.317683,0.044824,0.034815
EW_Ratio,deaths_gini_abs,0.127291,0.130472,0.122221,0.131094,0.093203,0.126791
EW_Ratio,deaths_gini_rel,0.000000,0.024992,-0.039827,0.029877,-0.267795,-0.003930
Minority_Ratio,deaths_gini_abs,0.108737,0.109108,0.094894,0.129327,0.100549,0.084583
Minority_Ratio,deaths_gini_rel,0.000000,0.003407,-0.127310,0.189358,-0.075300,-0.222136
