,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000102,0.000107,0.000096,0.000098,0.000101,0.000100
All,deaths_total_rel,0.000000,0.045090,-0.062377,-0.042826,-0.010948,-0.016402
Elder_Ratio,deaths_gini_abs,0.235693,0.230873,0.175393,0.248148,0.229186,0.216393
Elder_Ratio,deaths_gini_rel,0.000000,-0.020450,-0.255841,0.052841,-0.027609,-0.081888
Mean_Household_Income,deaths_gini_abs,0.113595,0.120154,0.125598,0.058570,0.117938,0.138669
Mean_Household_Income,deaths_gini_rel,0.000000,0.057740,0.105663,-0.484396,0.038232,0.220726
EW_Ratio,deaths_gini_abs,0.059279,0.065892,0.059737,0.047431,0.029968,0.070526
EW_Ratio,deaths_gini_rel,0.000000,0.111566,0.007720,-0.199861,-0.494466,0.189735
Minority_Ratio,deaths_gini_abs,0.057686,0.059840,0.044498,0.068354,0.046153,0.022841
Minority_Ratio,deaths_gini_rel,0.000000,0.037355,-0.228618,0.184937,-0.199914,-0.604042
