,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000161,0.000166,0.000157,0.000160,0.000159,0.000160
All,deaths_total_rel,0.000000,0.028837,-0.022034,-0.006772,-0.009238,-0.004557
Elder_Ratio,deaths_gini_abs,0.316860,0.313645,0.291671,0.309894,0.313723,0.302210
Elder_Ratio,deaths_gini_rel,0.000000,-0.010144,-0.079494,-0.021983,-0.009899,-0.046234
Mean_Household_Income,deaths_gini_abs,0.067032,0.065102,0.069287,0.052467,0.060540,0.076299
Mean_Household_Income,deaths_gini_rel,0.000000,-0.028802,0.033630,-0.217289,-0.096856,0.138244
EW_Ratio,deaths_gini_abs,0.035457,0.038579,0.036764,0.035059,0.024587,0.037767
EW_Ratio,deaths_gini_rel,0.000000,0.088037,0.036852,-0.011228,-0.306561,0.065139
Minority_Ratio,deaths_gini_abs,0.112788,0.112455,0.097004,0.108532,0.111540,0.093718
Minority_Ratio,deaths_gini_rel,0.000000,-0.002953,-0.139941,-0.037734,-0.011068,-0.169079
