,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000480,0.000498,0.000471,0.000441,0.000464,0.000466
All,deaths_total_rel,0.000000,0.037439,-0.020190,-0.082832,-0.034767,-0.029980
Elder_Ratio,deaths_gini_abs,0.126362,0.130730,0.095863,0.138458,0.134274,0.147950
Elder_Ratio,deaths_gini_rel,0.000000,0.034564,-0.241362,0.095726,0.062613,0.170839
Mean_Household_Income,deaths_gini_abs,0.467293,0.469877,0.470131,0.429895,0.456148,0.457784
Mean_Household_Income,deaths_gini_rel,0.000000,0.005529,0.006072,-0.080032,-0.023851,-0.020349
EW_Ratio,deaths_gini_abs,0.313913,0.319482,0.311640,0.277148,0.291699,0.316084
EW_Ratio,deaths_gini_rel,0.000000,0.017739,-0.007243,-0.117118,-0.070767,0.006915
Minority_Ratio,deaths_gini_abs,0.402279,0.401303,0.406503,0.355682,0.392519,0.374820
Minority_Ratio,deaths_gini_rel,0.000000,-0.002426,0.010498,-0.115834,-0.024264,-0.068260
