,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000215,0.000228,0.000202,0.000208,0.000215,0.000211
All,deaths_total_rel,0.000000,0.062696,-0.060347,-0.031585,0.001525,-0.019161
Elder_Ratio,deaths_gini_abs,0.293479,0.298448,0.240743,0.302464,0.283099,0.304489
Elder_Ratio,deaths_gini_rel,0.000000,0.016931,-0.179692,0.030613,-0.035371,0.037514
Mean_Household_Income,deaths_gini_abs,0.132560,0.126062,0.129320,0.078116,0.128479,0.107621
Mean_Household_Income,deaths_gini_rel,0.000000,-0.049018,-0.024444,-0.410715,-0.030786,-0.188138
EW_Ratio,deaths_gini_abs,0.128343,0.124095,0.104330,0.109199,0.088355,0.141224
EW_Ratio,deaths_gini_rel,0.000000,-0.033103,-0.187101,-0.149164,-0.311568,0.100365
Minority_Ratio,deaths_gini_abs,0.127834,0.132576,0.160778,0.095615,0.129836,0.077350
Minority_Ratio,deaths_gini_rel,0.000000,0.037096,0.257708,-0.252041,0.015662,-0.394922
