,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000040,0.000041,0.000038,0.000038,0.000037,0.000038
All,deaths_total_rel,0.000000,0.034828,-0.034494,-0.057990,-0.059823,-0.047659
Elder_Ratio,deaths_gini_abs,0.296161,0.289647,0.254701,0.288435,0.299943,0.301853
Elder_Ratio,deaths_gini_rel,0.000000,-0.021994,-0.139989,-0.026087,0.012771,0.019222
Mean_Household_Income,deaths_gini_abs,0.271479,0.266604,0.276122,0.217270,0.274583,0.253485
Mean_Household_Income,deaths_gini_rel,0.000000,-0.017957,0.017102,-0.199681,0.011432,-0.066282
EW_Ratio,deaths_gini_abs,0.080882,0.086242,0.104980,0.085101,0.045457,0.084547
EW_Ratio,deaths_gini_rel,0.000000,0.066274,0.297939,0.052163,-0.437979,0.045313
Minority_Ratio,deaths_gini_abs,0.204822,0.202691,0.216246,0.179753,0.204113,0.169498
Minority_Ratio,deaths_gini_rel,0.000000,-0.010403,0.055773,-0.122393,-0.003461,-0.172463
