,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000086,0.000091,0.000082,0.000086,0.000085,0.000086
All,deaths_total_rel,0.000000,0.050115,-0.055904,-0.000054,-0.020046,-0.003859
Elder_Ratio,deaths_gini_abs,0.238535,0.228021,0.176131,0.228647,0.244266,0.227915
Elder_Ratio,deaths_gini_rel,0.000000,-0.044080,-0.261616,-0.041453,0.024025,-0.044522
Mean_Household_Income,deaths_gini_abs,0.031659,0.030010,0.029821,0.006373,0.039048,0.037616
Mean_Household_Income,deaths_gini_rel,0.000000,-0.052071,-0.058047,-0.798681,0.233410,0.188165
EW_Ratio,deaths_gini_abs,0.085522,0.093401,0.092055,0.084671,0.062746,0.092823
EW_Ratio,deaths_gini_rel,0.000000,0.092125,0.076390,-0.009958,-0.266325,0.085369
Minority_Ratio,deaths_gini_abs,0.074606,0.077111,0.060844,0.076430,0.080084,0.057695
Minority_Ratio,deaths_gini_rel,0.000000,0.033575,-0.184464,0.024449,0.073418,-0.226676
