,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000286,0.000305,0.000271,0.000274,0.000280,0.000270
All,deaths_total_rel,0.000000,0.069079,-0.052249,-0.041505,-0.019383,-0.053503
Elder_Ratio,deaths_gini_abs,0.228663,0.228453,0.167471,0.227675,0.217082,0.228734
Elder_Ratio,deaths_gini_rel,0.000000,-0.000918,-0.267608,-0.004321,-0.050647,0.000307
Mean_Household_Income,deaths_gini_abs,0.199123,0.203322,0.189921,0.144453,0.175738,0.145647
Mean_Household_Income,deaths_gini_rel,0.000000,0.021089,-0.046211,-0.274550,-0.117438,-0.268557
EW_Ratio,deaths_gini_abs,0.143406,0.143136,0.113704,0.123787,0.094221,0.094221
EW_Ratio,deaths_gini_rel,0.000000,-0.001882,-0.207119,-0.136807,-0.342983,-0.342979
Minority_Ratio,deaths_gini_abs,0.200473,0.203770,0.213614,0.169521,0.182682,0.139382
Minority_Ratio,deaths_gini_rel,0.000000,0.016445,0.065551,-0.154396,-0.088745,-0.304735
