,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000047,0.000048,0.000044,0.000046,0.000046,0.000046
All,deaths_total_rel,0.000000,0.033365,-0.065290,-0.017203,-0.025444,-0.020483
Elder_Ratio,deaths_gini_abs,0.341345,0.341207,0.302798,0.347656,0.351786,0.335751
Elder_Ratio,deaths_gini_rel,0.000000,-0.000404,-0.112927,0.018487,0.030586,-0.016388
Mean_Household_Income,deaths_gini_abs,0.125945,0.125455,0.124911,0.093472,0.119228,0.138823
Mean_Household_Income,deaths_gini_rel,0.000000,-0.003890,-0.008209,-0.257840,-0.053337,0.102248
EW_Ratio,deaths_gini_abs,0.133627,0.120723,0.134203,0.125355,0.098462,0.137216
EW_Ratio,deaths_gini_rel,0.000000,-0.096567,0.004315,-0.061900,-0.263153,0.026861
Minority_Ratio,deaths_gini_abs,0.201477,0.205993,0.188213,0.202589,0.205314,0.171256
Minority_Ratio,deaths_gini_rel,0.000000,0.022411,-0.065838,0.005519,0.019040,-0.150000
