,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000040,0.000041,0.000039,0.000040,0.000040,0.000040
All,deaths_total_rel,0.000000,0.023322,-0.037543,-0.016496,-0.020592,-0.012173
Elder_Ratio,deaths_gini_abs,0.321993,0.316714,0.288494,0.309749,0.324945,0.309869
Elder_Ratio,deaths_gini_rel,0.000000,-0.016397,-0.104038,-0.038026,0.009168,-0.037654
Mean_Household_Income,deaths_gini_abs,0.082067,0.074212,0.082051,0.054267,0.083813,0.081087
Mean_Household_Income,deaths_gini_rel,0.000000,-0.095705,-0.000189,-0.338738,0.021287,-0.011940
EW_Ratio,deaths_gini_abs,0.119964,0.130472,0.123958,0.137134,0.093986,0.121951
EW_Ratio,deaths_gini_rel,0.000000,0.087594,0.033289,0.143124,-0.216550,0.016562
Minority_Ratio,deaths_gini_abs,0.104928,0.109108,0.093249,0.125457,0.099569,0.076579
Minority_Ratio,deaths_gini_rel,0.000000,0.039836,-0.111306,0.195653,-0.051068,-0.270173
