,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000102,0.000107,0.000097,0.000101,0.000101,0.000102
All,deaths_total_rel,0.000000,0.043458,-0.050341,-0.016130,-0.008219,-0.003966
Elder_Ratio,deaths_gini_abs,0.233158,0.230873,0.175126,0.241039,0.231901,0.227524
Elder_Ratio,deaths_gini_rel,0.000000,-0.009800,-0.248897,0.033800,-0.005394,-0.024166
Mean_Household_Income,deaths_gini_abs,0.109833,0.120154,0.121868,0.079065,0.111262,0.123276
Mean_Household_Income,deaths_gini_rel,0.000000,0.093976,0.109578,-0.280136,0.013014,0.122403
EW_Ratio,deaths_gini_abs,0.065476,0.065892,0.055638,0.064599,0.034526,0.057798
EW_Ratio,deaths_gini_rel,0.000000,0.006360,-0.150249,-0.013394,-0.472700,-0.117271
Minority_Ratio,deaths_gini_abs,0.059437,0.059840,0.051786,0.053370,0.046686,0.028105
Minority_Ratio,deaths_gini_rel,0.000000,0.006795,-0.128722,-0.102075,-0.214516,-0.527148
