,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000161,0.000166,0.000158,0.000160,0.000161,0.000160
All,deaths_total_rel,0.000000,0.029673,-0.019771,-0.005653,0.000062,-0.003592
Elder_Ratio,deaths_gini_abs,0.313164,0.313645,0.288810,0.318159,0.310811,0.310731
Elder_Ratio,deaths_gini_rel,0.000000,0.001536,-0.077768,0.015950,-0.007513,-0.007770
Mean_Household_Income,deaths_gini_abs,0.068678,0.065102,0.072068,0.054931,0.063063,0.079838
Mean_Household_Income,deaths_gini_rel,0.000000,-0.052072,0.049360,-0.200158,-0.081762,0.162504
EW_Ratio,deaths_gini_abs,0.037920,0.038579,0.035803,0.043141,0.024204,0.041954
EW_Ratio,deaths_gini_rel,0.000000,0.017382,-0.055824,0.137701,-0.361706,0.106380
Minority_Ratio,deaths_gini_abs,0.115293,0.112455,0.096941,0.116125,0.109847,0.098707
Minority_Ratio,deaths_gini_rel,0.000000,-0.024616,-0.159178,0.007216,-0.047234,-0.143863
