,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000481,0.000498,0.000475,0.000462,0.000469,0.000443
All,deaths_total_rel,0.000000,0.036840,-0.010867,-0.039418,-0.023075,-0.079031
Elder_Ratio,deaths_gini_abs,0.121906,0.130730,0.095223,0.133838,0.133465,0.129508
Elder_Ratio,deaths_gini_rel,0.000000,0.072381,-0.218881,0.097875,0.094819,0.062356
Mean_Household_Income,deaths_gini_abs,0.469700,0.469877,0.471167,0.447102,0.456422,0.439264
Mean_Household_Income,deaths_gini_rel,0.000000,0.000376,0.003123,-0.048112,-0.028270,-0.064800
EW_Ratio,deaths_gini_abs,0.316351,0.319482,0.313710,0.312382,0.292363,0.285920
EW_Ratio,deaths_gini_rel,0.000000,0.009898,-0.008347,-0.012545,-0.075827,-0.096194
Minority_Ratio,deaths_gini_abs,0.404413,0.401303,0.407984,0.390201,0.391039,0.353055
Minority_Ratio,deaths_gini_rel,0.000000,-0.007690,0.008828,-0.035144,-0.033071,-0.126994
