,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000040,0.000041,0.000040,0.000039,0.000038,0.000039
All,deaths_total_rel,0.000000,0.027465,-0.008934,-0.019854,-0.044507,-0.035407
Elder_Ratio,deaths_gini_abs,0.287068,0.289647,0.259065,0.292329,0.307638,0.288602
Elder_Ratio,deaths_gini_rel,0.000000,0.008983,-0.097549,0.018328,0.071655,0.005344
Mean_Household_Income,deaths_gini_abs,0.274436,0.266604,0.274036,0.243571,0.256534,0.246047
Mean_Household_Income,deaths_gini_rel,0.000000,-0.028540,-0.001458,-0.112469,-0.065232,-0.103448
EW_Ratio,deaths_gini_abs,0.090570,0.086242,0.094841,0.066188,0.055190,0.073335
EW_Ratio,deaths_gini_rel,0.000000,-0.047789,0.047156,-0.269214,-0.390644,-0.190294
Minority_Ratio,deaths_gini_abs,0.205679,0.202691,0.210317,0.205870,0.196656,0.173686
Minority_Ratio,deaths_gini_rel,0.000000,-0.014524,0.022549,0.000932,-0.043867,-0.155547
