,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000217,0.000228,0.000205,0.000217,0.000216,0.000208
All,deaths_total_rel,0.000000,0.049506,-0.058520,-0.003276,-0.004253,-0.042648
Elder_Ratio,deaths_gini_abs,0.292354,0.298448,0.243855,0.296978,0.282802,0.299834
Elder_Ratio,deaths_gini_rel,0.000000,0.020846,-0.165892,0.015816,-0.032671,0.025586
Mean_Household_Income,deaths_gini_abs,0.130349,0.126062,0.127022,0.095421,0.126573,0.090641
Mean_Household_Income,deaths_gini_rel,0.000000,-0.032884,-0.025521,-0.267958,-0.028970,-0.304626
EW_Ratio,deaths_gini_abs,0.126567,0.124095,0.098138,0.126998,0.098737,0.100305
EW_Ratio,deaths_gini_rel,0.000000,-0.019537,-0.224618,0.003403,-0.219886,-0.207501
Minority_Ratio,deaths_gini_abs,0.131975,0.132576,0.158059,0.117380,0.126900,0.070276
Minority_Ratio,deaths_gini_rel,0.000000,0.004554,0.197642,-0.110593,-0.038455,-0.467504
