,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000088,0.000091,0.000084,0.000088,0.000086,0.000087
All,deaths_total_rel,0.000000,0.035354,-0.042858,0.003382,-0.025102,-0.008033
Elder_Ratio,deaths_gini_abs,0.226733,0.228021,0.187798,0.227921,0.235620,0.217236
Elder_Ratio,deaths_gini_rel,0.000000,0.005681,-0.171720,0.005239,0.039196,-0.041885
Mean_Household_Income,deaths_gini_abs,0.026716,0.030010,0.027389,0.016463,0.031833,0.031906
Mean_Household_Income,deaths_gini_rel,0.000000,0.123289,0.025173,-0.383774,0.191512,0.194247
EW_Ratio,deaths_gini_abs,0.089181,0.093401,0.093131,0.097556,0.067598,0.088580
EW_Ratio,deaths_gini_rel,0.000000,0.047322,0.044292,0.093918,-0.242016,-0.006739
Minority_Ratio,deaths_gini_abs,0.074827,0.077111,0.072675,0.083097,0.086451,0.050749
Minority_Ratio,deaths_gini_rel,0.000000,0.030529,-0.028754,0.110532,0.155350,-0.321782
