,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000293,0.000305,0.000282,0.000285,0.000289,0.000288
All,deaths_total_rel,0.000000,0.043897,-0.037573,-0.024622,-0.011042,-0.015265
Elder_Ratio,deaths_gini_abs,0.227354,0.228453,0.185970,0.225984,0.220395,0.234853
Elder_Ratio,deaths_gini_rel,0.000000,0.004834,-0.182024,-0.006027,-0.030611,0.032980
Mean_Household_Income,deaths_gini_abs,0.198969,0.203322,0.195740,0.166719,0.187263,0.182702
Mean_Household_Income,deaths_gini_rel,0.000000,0.021875,-0.016229,-0.162086,-0.058835,-0.081760
EW_Ratio,deaths_gini_abs,0.142674,0.143136,0.124036,0.114373,0.111175,0.131419
EW_Ratio,deaths_gini_rel,0.000000,0.003241,-0.130635,-0.198364,-0.220780,-0.078883
Minority_Ratio,deaths_gini_abs,0.201765,0.203770,0.211838,0.173590,0.194059,0.173354
Minority_Ratio,deaths_gini_rel,0.000000,0.009937,0.049925,-0.139643,-0.038194,-0.140812
