,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000047,0.000048,0.000045,0.000047,0.000046,0.000046
All,deaths_total_rel,0.000000,0.031138,-0.035289,-0.008064,-0.011497,-0.017964
Elder_Ratio,deaths_gini_abs,0.343281,0.341207,0.315447,0.337708,0.355579,0.339937
Elder_Ratio,deaths_gini_rel,0.000000,-0.006041,-0.081082,-0.016234,0.035826,-0.009742
Mean_Household_Income,deaths_gini_abs,0.127542,0.125455,0.120793,0.102424,0.124058,0.118094
Mean_Household_Income,deaths_gini_rel,0.000000,-0.016359,-0.052915,-0.196935,-0.027313,-0.074076
EW_Ratio,deaths_gini_abs,0.127241,0.120723,0.137137,0.127442,0.107013,0.133291
EW_Ratio,deaths_gini_rel,0.000000,-0.051229,0.077770,0.001580,-0.158970,0.047547
Minority_Ratio,deaths_gini_abs,0.206458,0.205993,0.191562,0.201611,0.212430,0.188715
Minority_Ratio,deaths_gini_rel,0.000000,-0.002252,-0.072152,-0.023475,0.028924,-0.085938
