,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000041,0.000041,0.000040,0.000040,0.000040,0.000041
All,deaths_total_rel,0.000000,0.007504,-0.034050,-0.012321,-0.025538,0.005376
Elder_Ratio,deaths_gini_abs,0.320917,0.316714,0.298937,0.310476,0.319216,0.312894
Elder_Ratio,deaths_gini_rel,0.000000,-0.013100,-0.068493,-0.032538,-0.005302,-0.025003
Mean_Household_Income,deaths_gini_abs,0.075212,0.074212,0.078881,0.059380,0.087856,0.085195
Mean_Household_Income,deaths_gini_rel,0.000000,-0.013288,0.048787,-0.210496,0.168111,0.132739
EW_Ratio,deaths_gini_abs,0.125957,0.130472,0.124237,0.121846,0.104838,0.130129
EW_Ratio,deaths_gini_rel,0.000000,0.035850,-0.013656,-0.032633,-0.167664,0.033123
Minority_Ratio,deaths_gini_abs,0.106078,0.109108,0.097773,0.115180,0.100230,0.087385
Minority_Ratio,deaths_gini_rel,0.000000,0.028556,-0.078297,0.085805,-0.055130,-0.176226
