,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000104,0.000107,0.000100,0.000100,0.000103,0.000103
All,deaths_total_rel,0.000000,0.029288,-0.036969,-0.035226,-0.009769,-0.005858
Elder_Ratio,deaths_gini_abs,0.231657,0.230873,0.191104,0.241756,0.228950,0.221981
Elder_Ratio,deaths_gini_rel,0.000000,-0.003382,-0.175055,0.043597,-0.011684,-0.041769
Mean_Household_Income,deaths_gini_abs,0.117008,0.120154,0.119301,0.077847,0.111903,0.134439
Mean_Household_Income,deaths_gini_rel,0.000000,0.026888,0.019599,-0.334687,-0.043634,0.148975
EW_Ratio,deaths_gini_abs,0.066475,0.065892,0.059295,0.051851,0.042039,0.064890
EW_Ratio,deaths_gini_rel,0.000000,-0.008770,-0.108018,-0.220004,-0.367602,-0.023853
Minority_Ratio,deaths_gini_abs,0.056924,0.059840,0.046143,0.058114,0.047549,0.034657
Minority_Ratio,deaths_gini_rel,0.000000,0.051237,-0.189391,0.020900,-0.164694,-0.391171
