,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000163,0.000166,0.000160,0.000161,0.000162,0.000162
All,deaths_total_rel,0.000000,0.018695,-0.013813,-0.010506,-0.005315,-0.003924
Elder_Ratio,deaths_gini_abs,0.314574,0.313645,0.298246,0.309586,0.309893,0.305865
Elder_Ratio,deaths_gini_rel,0.000000,-0.002953,-0.051906,-0.015856,-0.014881,-0.027687
Mean_Household_Income,deaths_gini_abs,0.068267,0.065102,0.064431,0.055184,0.066054,0.075317
Mean_Household_Income,deaths_gini_rel,0.000000,-0.046371,-0.056193,-0.191644,-0.032430,0.103268
EW_Ratio,deaths_gini_abs,0.037726,0.038579,0.035286,0.037720,0.032370,0.036963
EW_Ratio,deaths_gini_rel,0.000000,0.022594,-0.064680,-0.000168,-0.141992,-0.020244
Minority_Ratio,deaths_gini_abs,0.114955,0.112455,0.104164,0.108320,0.109438,0.098009
Minority_Ratio,deaths_gini_rel,0.000000,-0.021749,-0.093870,-0.057718,-0.047995,-0.147416
