,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000487,0.000498,0.000482,0.000466,0.000481,0.000481
All,deaths_total_rel,0.000000,0.024095,-0.009614,-0.041601,-0.012058,-0.012333
Elder_Ratio,deaths_gini_abs,0.123639,0.130730,0.106929,0.132341,0.131219,0.136830
Elder_Ratio,deaths_gini_rel,0.000000,0.057354,-0.135149,0.070389,0.061309,0.106697
Mean_Household_Income,deaths_gini_abs,0.470110,0.469877,0.472535,0.449799,0.462080,0.462910
Mean_Household_Income,deaths_gini_rel,0.000000,-0.000495,0.005159,-0.043203,-0.017080,-0.015315
EW_Ratio,deaths_gini_abs,0.317300,0.319482,0.317431,0.298814,0.304417,0.316017
EW_Ratio,deaths_gini_rel,0.000000,0.006876,0.000415,-0.058260,-0.040601,-0.004043
Minority_Ratio,deaths_gini_abs,0.404807,0.401303,0.407592,0.376398,0.396782,0.387621
Minority_Ratio,deaths_gini_rel,0.000000,-0.008656,0.006878,-0.070181,-0.019826,-0.042456
