,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000041,0.000041,0.000040,0.000039,0.000040,0.000040
All,deaths_total_rel,0.000000,0.007626,-0.017524,-0.046244,-0.024501,-0.028395
Elder_Ratio,deaths_gini_abs,0.288153,0.289647,0.265390,0.287069,0.288593,0.289349
Elder_Ratio,deaths_gini_rel,0.000000,0.005186,-0.078996,-0.003760,0.001529,0.004152
Mean_Household_Income,deaths_gini_abs,0.269991,0.266604,0.265766,0.240869,0.256590,0.251293
Mean_Household_Income,deaths_gini_rel,0.000000,-0.012546,-0.015650,-0.107865,-0.049636,-0.069254
EW_Ratio,deaths_gini_abs,0.087694,0.086242,0.087977,0.084984,0.071887,0.096410
EW_Ratio,deaths_gini_rel,0.000000,-0.016553,0.003229,-0.030897,-0.180245,0.099391
Minority_Ratio,deaths_gini_abs,0.212324,0.202691,0.213067,0.195808,0.204242,0.194754
Minority_Ratio,deaths_gini_rel,0.000000,-0.045365,0.003504,-0.077787,-0.038063,-0.082747
