,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000222,0.000228,0.000214,0.000217,0.000225,0.000219
All,deaths_total_rel,0.000000,0.026489,-0.036200,-0.024041,0.013135,-0.013772
Elder_Ratio,deaths_gini_abs,0.296028,0.298448,0.265526,0.301031,0.294047,0.307175
Elder_Ratio,deaths_gini_rel,0.000000,0.008176,-0.103038,0.016900,-0.006692,0.037657
Mean_Household_Income,deaths_gini_abs,0.127682,0.126062,0.126427,0.100301,0.130209,0.122192
Mean_Household_Income,deaths_gini_rel,0.000000,-0.012685,-0.009827,-0.214451,0.019791,-0.043001
EW_Ratio,deaths_gini_abs,0.131537,0.124095,0.112022,0.122208,0.113253,0.137990
EW_Ratio,deaths_gini_rel,0.000000,-0.056577,-0.148361,-0.070922,-0.139001,0.049065
Minority_Ratio,deaths_gini_abs,0.130779,0.132576,0.150698,0.109389,0.131515,0.105999
Minority_Ratio,deaths_gini_rel,0.000000,0.013742,0.152306,-0.163558,0.005625,-0.189477
