,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000098,0.000107,0.000090,0.000091,0.000097,0.000098,0.000093,0.000095,0.000078,0.000082
All,deaths_total_rel,0.000000,0.084551,-0.089954,-0.075004,-0.018580,-0.007774,-0.059115,-0.038527,-0.203464,-0.169315
Elder_Ratio,deaths_gini_abs,0.238401,0.230873,0.131722,0.255840,0.233675,0.222421,0.251317,0.239829,0.133545,0.158514
Elder_Ratio,deaths_gini_rel,0.000000,-0.031577,-0.447479,0.073148,-0.019824,-0.067030,0.054174,0.005988,-0.439830,-0.335094
Mean_Household_Income,deaths_gini_abs,0.111572,0.120154,0.134409,0.021616,0.119715,0.133310,0.033315,0.056161,0.095944,0.145015
Mean_Household_Income,deaths_gini_rel,0.000000,0.076919,0.204680,-0.806260,0.072984,0.194835,-0.701408,-0.496636,-0.140069,0.299741
EW_Ratio,deaths_gini_abs,0.059654,0.065892,0.061602,0.040832,0.023299,0.069264,0.049839,0.041353,0.024716,0.111863
EW_Ratio,deaths_gini_rel,0.000000,0.104582,0.032655,-0.315517,-0.609429,0.161095,-0.164523,-0.306779,-0.585677,0.875211
Minority_Ratio,deaths_gini_abs,0.062233,0.059840,0.048240,0.094754,0.040735,0.012809,0.104805,0.077522,0.027940,0.090151
Minority_Ratio,deaths_gini_rel,0.000000,-0.038445,-0.224841,0.522563,-0.345443,-0.794169,0.684079,0.245678,-0.551050,0.448606
