,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000498,0.000462,0.000450,0.000394,0.000437,0.000449,0.000415,0.000431,0.000370,0.000389
All,deaths_total_rel,0.000000,-0.072892,-0.097802,-0.208602,-0.123339,-0.099453,-0.166657,-0.135203,-0.257975,-0.219899
Elder_Ratio,deaths_gini_abs,0.130730,0.124519,0.065204,0.148890,0.139119,0.157185,0.163777,0.155056,0.107856,0.062402
Elder_Ratio,deaths_gini_rel,0.000000,-0.047505,-0.501230,0.138911,0.064173,0.202368,0.252792,0.186081,-0.174967,-0.522664
Mean_Household_Income,deaths_gini_abs,0.469877,0.465528,0.469402,0.385426,0.442395,0.450520,0.411900,0.426060,0.387980,0.463448
Mean_Household_Income,deaths_gini_rel,0.000000,-0.009254,-0.001011,-0.179730,-0.058488,-0.041195,-0.123388,-0.093251,-0.174295,-0.013682
EW_Ratio,deaths_gini_abs,0.319482,0.311058,0.306154,0.230595,0.261216,0.310403,0.260291,0.275113,0.223837,0.348185
EW_Ratio,deaths_gini_rel,0.000000,-0.026367,-0.041718,-0.278222,-0.182375,-0.028416,-0.185271,-0.138878,-0.299376,0.089843
Minority_Ratio,deaths_gini_abs,0.401303,0.403258,0.409911,0.312357,0.382124,0.363401,0.330166,0.348028,0.316179,0.444121
Minority_Ratio,deaths_gini_rel,0.000000,0.004869,0.021448,-0.221645,-0.047793,-0.094447,-0.177265,-0.132757,-0.212121,0.106697
