,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000289,0.000305,0.000278,0.000280,0.000287,0.000289,0.000300,0.000283,0.000250,0.000260
All,deaths_total_rel,0.000000,0.056860,-0.039131,-0.030989,-0.007096,-0.000091,0.037152,-0.021709,-0.136260,-0.099483
Elder_Ratio,deaths_gini_abs,0.226788,0.228453,0.174360,0.221155,0.226125,0.233225,0.227513,0.229496,0.166450,0.174946
Elder_Ratio,deaths_gini_rel,0.000000,0.007346,-0.231174,-0.024836,-0.002922,0.028383,0.003201,0.011944,-0.266053,-0.228590
Mean_Household_Income,deaths_gini_abs,0.198352,0.203322,0.189205,0.151866,0.184261,0.185224,0.195666,0.162905,0.106192,0.201733
Mean_Household_Income,deaths_gini_rel,0.000000,0.025058,-0.046112,-0.234357,-0.071038,-0.066181,-0.013541,-0.178705,-0.464628,0.017047
EW_Ratio,deaths_gini_abs,0.146022,0.143136,0.108344,0.096091,0.109605,0.134856,0.136425,0.113102,0.040914,0.183840
EW_Ratio,deaths_gini_rel,0.000000,-0.019761,-0.258029,-0.341943,-0.249391,-0.076467,-0.065721,-0.225445,-0.719811,0.258985
Minority_Ratio,deaths_gini_abs,0.202005,0.203770,0.210008,0.155583,0.190370,0.171515,0.196309,0.161450,0.119175,0.260692
Minority_Ratio,deaths_gini_rel,0.000000,0.008735,0.039618,-0.229807,-0.057601,-0.150939,-0.028197,-0.200763,-0.410040,0.290522
