,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000091,0.000085,0.000081,0.000086,0.000084,0.000085,0.000086,0.000085,0.000075,0.000076
All,deaths_total_rel,0.000000,-0.060382,-0.108003,-0.053236,-0.069824,-0.067630,-0.053849,-0.058800,-0.172366,-0.165323
Elder_Ratio,deaths_gini_abs,0.228021,0.234342,0.160086,0.228396,0.244160,0.213038,0.230643,0.228078,0.157032,0.167803
Elder_Ratio,deaths_gini_rel,0.000000,0.027724,-0.297934,0.001646,0.070780,-0.065706,0.011501,0.000250,-0.311324,-0.264090
Mean_Household_Income,deaths_gini_abs,0.030010,0.026975,0.022780,0.004961,0.042732,0.044484,0.046553,0.037583,0.023150,0.024738
Mean_Household_Income,deaths_gini_rel,0.000000,-0.101146,-0.240936,-0.834696,0.423938,0.482289,0.551258,0.252332,-0.228576,-0.175662
EW_Ratio,deaths_gini_abs,0.093401,0.088648,0.101994,0.099230,0.051190,0.083804,0.093042,0.095568,0.068485,0.101588
EW_Ratio,deaths_gini_rel,0.000000,-0.050884,0.092006,0.062404,-0.451936,-0.102753,-0.003843,0.023198,-0.266761,0.087658
Minority_Ratio,deaths_gini_abs,0.077111,0.071181,0.053002,0.085097,0.078743,0.046871,0.111294,0.072817,0.032648,0.036027
Minority_Ratio,deaths_gini_rel,0.000000,-0.076900,-0.312656,0.103566,0.021158,-0.392167,0.443299,-0.055683,-0.576610,-0.532790
